back_control_bucket_min,back_control_lower_sec,back_control_upper_sec,clinch_bucket_min,clinch_lower_sec,clinch_upper_sec,distance_bucket_min,distance_lower_sec,distance_upper_sec,fight_id,fighter_id,ground_bucket_min,ground_control_bucket_min,ground_control_lower_sec,ground_control_upper_sec,ground_lower_sec,ground_upper_sec,guard_control_bucket_min,guard_control_lower_sec,guard_control_upper_sec,half_guard_control_bucket_min,half_guard_control_lower_sec,half_guard_control_upper_sec,misc_ground_control_bucket_min,misc_ground_control_lower_sec,misc_ground_control_upper_sec,mount_control_bucket_min,mount_control_lower_sec,mount_control_upper_sec,neutral_bucket_min,neutral_lower_sec,neutral_upper_sec,round,side_control_bucket_min,side_control_lower_sec,side_control_upper_sec,standing_bucket_min,standing_lower_sec,standing_upper_sec,standups
0,0,59,0,0,59,2,120,179,000b8aad-72c6-5991-881a-cbcef499b4c7,4a27431e-2228-5637-8de0-902f3bcd7b86,2,2,120,179,120,179,0,0,59,2,120,179,,,,0,0,59,2,120,179,1,0,0,59,2,120,179,0
0,0,59,1,60,119,3,180,239,000b8aad-72c6-5991-881a-cbcef499b4c7,4a27431e-2228-5637-8de0-902f3bcd7b86,0,0,0,59,0,59,0,0,59,0,0,59,,,,0,0,59,3,180,239,2,0,0,59,5,300,359,0
0,0,59,0,0,59,4,240,299,000b8aad-72c6-5991-881a-cbcef499b4c7,4a27431e-2228-5637-8de0-902f3bcd7b86,0,0,0,59,0,59,0,0,59,0,0,59,,,,0,0,59,5,300,359,3,0,0,59,5,300,359,0
0,0,59,0,0,59,1,60,119,000b8aad-72c6-5991-881a-cbcef499b4c7,4a27431e-2228-5637-8de0-902f3bcd7b86,2,0,0,59,120,179,0,0,59,0,0,59,,,,0,0,59,1,60,119,4,0,0,59,2,120,179,0
0,0,59,0,0,59,4,240,299,000b8aad-72c6-5991-881a-cbcef499b4c7,4a27431e-2228-5637-8de0-902f3bcd7b86,0,0,0,59,0,59,0,0,59,0,0,59,,,,0,0,59,4,240,299,5,0,0,59,4,240,299,0
0,0,59,0,0,59,2,120,179,000b8aad-72c6-5991-881a-cbcef499b4c7,e14f4877-4ec9-5de7-be5c-170c34751dae,2,0,0,59,120,179,0,0,59,0,0,59,,,,0,0,59,2,120,179,1,0,0,59,2,120,179,0
0,0,59,1,60,119,3,180,239,000b8aad-72c6-5991-881a-cbcef499b4c7,e14f4877-4ec9-5de7-be5c-170c34751dae,0,0,0,59,0,59,0,0,59,0,0,59,,,,0,0,59,3,180,239,2,0,0,59,5,300,359,0
0,0,59,0,0,59,4,240,299,000b8aad-72c6-5991-881a-cbcef499b4c7,e14f4877-4ec9-5de7-be5c-170c34751dae,0,0,0,59,0,59,0,0,59,0,0,59,,,,0,0,59,5,300,359,3,0,0,59,5,300,359,0
0,0,59,0,0,59,1,60,119,000b8aad-72c6-5991-881a-cbcef499b4c7,e14f4877-4ec9-5de7-be5c-170c34751dae,2,2,120,179,120,179,2,120,179,0,0,59,,,,0,0,59,1,60,119,4,0,0,59,2,120,179,1
0,0,59,0,0,59,4,240,299,000b8aad-72c6-5991-881a-cbcef499b4c7,e14f4877-4ec9-5de7-be5c-170c34751dae,0,0,0,59,0,59,0,0,59,0,0,59,,,,0,0,59,4,240,299,5,0,0,59,4,240,299,0
