fighter_id,canonical_name,dob,height_cm,reach_cm,leg_reach_cm,stance
003bf19f-ba9a-5bab-b2d1-acd738fee793,Louis Lee Scott,2000-02-26,172.72,177.8,,Orthodox
0052f0b1-97b2-5b49-a1dc-df19211e4168,Lucas Alexander,1995-07-28,180.34,185.42,,Orthodox
00696131-7f35-5237-b7cc-fdd1e9010a6b,Gary Goodridge,1966-01-17,190.5,,,Orthodox
00718b28-4fe0-59f6-8fac-c6efbef0ae36,Lucas Caldas,1996-05-22,,,,Orthodox
007ea0c3-6c8b-50fd-9e42-3ba14ef25f8b,Mark Hunt,1974-03-23,177.8,182.88,,Orthodox
008b3d30-8943-5456-b366-fd8f980792f2,Al Matavao,1994-02-23,172.72,170.18,,Orthodox
0099f547-a666-5588-b524-f004f1ae68f6,Jeremy Horn,1975-08-25,185.42,187.96,,Orthodox
00a8a93f-6c77-5e10-ab17-49ec562376f5,Ray Rodriguez,1987-12-10,170.18,177.8,,Orthodox
00ab07d3-3e07-5ecb-8c26-0d42816d1039,Freddy Vidal,1994-05-06,190.5,200.66,,Orthodox
00bdf4f7-de72-5a8c-882d-15f7d192288d,Delphine Benouaich,1995-03-21,,,,
00c1de35-79a9-5ad4-b409-b05fc1146521,Artem Lobov,1986-08-11,175.26,165.1,,Southpaw
00e082dc-02b7-5c55-b2c0-8ca39b8046d0,Dylan Potter,1995-01-14,187.96,195.58,,Switch
00f48314-0a5d-5834-bb1f-546d122aa237,Saparbeg Safarov,1986-10-14,185.42,198.12,,Orthodox
00fa0691-cb1f-5599-8ab8-daee124ad85a,Brian Bowles,1980-06-22,170.18,177.8,,Orthodox
0107ed25-ec2e-57b4-ab45-d1c4dee77a1e,Luke Stewart,,180.34,,,Orthodox
01369083-1dd8-5b8f-9817-b2b928ff8127,Danyelle Wolf,1983-09-08,180.34,177.8,,Orthodox
014b8fee-aab8-5166-8aeb-f277f1be9ca8,Matt Bessette,1984-12-28,177.8,177.8,,Orthodox
014c2128-c79e-57db-8e93-549f3b43625c,Eli Aronov,1996-06-06,177.8,182.88,,Orthodox
015ee38b-bae3-58bb-a405-be7a8abaaac8,Mats Nilsson,1983-12-05,185.42,,,Orthodox
0179180f-b511-54f1-8adc-5783a819aadb,Fatima Kline,2000-07-12,167.64,170.18,,Orthodox
018131b8-aa0d-5ddd-a64a-dd3ecfea7d5a,Josh Fremd,1994-01-15,193.04,193.04,,Orthodox
01994c06-458d-5360-957b-808e3c428de5,Kestutis Smirnovas,,177.8,,,Orthodox
01a2daae-4c91-5656-bb53-175146a4df6d,Justin Levens,1980-04-18,180.34,,,Orthodox
01b4d843-f84b-5505-b821-d033c8155ff6,Marcos Conrado Jr.,1982-03-14,187.96,,,Orthodox
01c1a269-e73f-5543-acd3-b14ed5c8f7fc,JP Felty,1979-04-28,,,,
01c5f2e0-9f4d-56c1-9ccd-ecde858e49b7,Alexander Otsuka,1971-07-17,185.42,,,Orthodox
01e91f45-2185-5bd7-97dd-5c97cef8ecb9,Chris Herrera,,177.8,,,
01e99237-006e-59df-8b99-5490c8b8c38e,Sam Sicilia,1986-02-01,172.72,170.18,,Orthodox
01f02c23-89fc-5ea3-b07c-b0f275ba2bb1,Chase Beebe,1985-03-29,170.18,170.18,,Orthodox
01f050eb-e57a-55e3-8efe-0e264eeede2e,Roman Dolidze,1988-07-15,187.96,193.04,,Orthodox
0205791d-0c21-590e-ba45-5c0a131a188b,Richie Santiago,1992-10-10,170.18,170.18,,Southpaw
020650b0-f57d-578c-a506-aa02bc86a5cf,DaMarques Johnson,1982-06-28,185.42,190.5,,Orthodox
0227d69a-d976-5ff5-927f-f4f8dafafd12,Kleydson Rodrigues,1995-10-22,165.1,170.18,,Orthodox
0248e782-c8cd-5b07-8470-073d52f86d16,Atsushi Yamamoto,1980-10-02,167.64,,,Orthodox
0251732d-4552-573c-a42a-710917dcc3ae,Elizabeth Phillips,1986-08-20,167.64,165.1,,Orthodox
026d8d03-69b6-5ec4-aab2-154e978bc075,Bella Mir,2003-01-01,,,,
026ea9f0-aaa3-5770-8d41-623de5deb942,Ryuichi Murata,,172.72,,,Orthodox
027ffebf-6210-58ac-ae7b-aebbbc5c0f0b,Josh Jarvis,,,,,
02829769-06a7-52cc-9534-02b79a5b39c1,Bruna Brasil,1993-09-07,167.64,165.1,,Orthodox
0285da02-1614-5094-bef8-379651ab66a9,CJ Keith,1986-08-09,182.88,,,Orthodox
029d8e30-2cd1-5705-baea-9b787073cd34,Bruno Oliveira,1984-05-02,193.04,203.2,,Orthodox
02c3d148-ce96-50d5-82c6-712e50a723b2,Jason Young,1986-06-28,175.26,185.42,,Orthodox
02d4ff99-2552-5dc6-be45-2b9482b97b76,Kathryn Paprocki,1993-04-28,160.02,160.02,,Orthodox
02dce973-504f-5c34-95cb-fb82313d0948,Rocky Long,1978-02-18,,,,
02e7bb9b-f2f1-59af-9681-a1701dbc7458,Reyes Cortez Jr.,1992-07-31,170.18,172.72,,Orthodox
031f9451-8478-5899-8be6-a0a903ada8b5,Derek Getzel,,182.88,,,
032b72db-34a4-593c-a4fe-5f8f41332b57,Hayder Hassan,1982-10-20,177.8,,,
0340bd49-fcf1-5c04-b3ff-b08aa47d6b22,Kaik Brito,1997-03-26,180.34,182.88,,Orthodox
034f8fc8-8bfc-5259-98ed-f784c30ec03c,Carl Seumanutafa,,185.42,,,Orthodox
0353a089-5f76-5eb7-b20f-034edcb725b6,Leonardo Damiani,1990-08-30,177.8,175.26,,Orthodox
03721a3c-09b5-5207-9ca9-26735719f5dc,Liam Anderson,1995-01-13,190.5,190.5,,Orthodox
038f054d-a79c-52f6-9382-b9ca0bb852ff,Ange Loosa,1993-03-18,177.8,187.96,,Orthodox
0397f174-3310-570e-99df-be50d0acb683,Matt Ramirez,,165.1,,,
03a97ed7-cf00-5ebc-ab4e-9a645595b901,Jailton Almeida,1991-06-26,190.5,200.66,,Orthodox
03c4eab2-897c-561f-962e-fe4f68e66658,Hector Sandoval,1986-07-19,157.48,162.56,,Orthodox
03d2e71b-8c39-545f-b224-0039a4aadd67,Alain Van der Merckt,1993-06-11,,,,
03e214ed-f492-5770-8a24-5eb1cb8869c2,Gilbert Aldana,1977-08-25,185.42,,,Orthodox
03ed2b2f-4148-546b-b7bc-312a79b99ddf,Shawn Jordan,1984-10-21,182.88,190.5,,Southpaw
03efa4d7-0741-54f8-9207-ab5f35c31c93,Ilia Topuria,1997-01-21,170.18,175.26,,Orthodox
03efbe42-7582-5af5-a019-d9386a1a773a,Jordan Vucenic,1996-03-02,177.8,185.42,,Orthodox
03f23c63-034b-5f46-bd76-042f5f19b311,Joaquin Buckley,1994-04-27,177.8,193.04,,Southpaw
0401822b-f4c1-5529-b2e1-2e552bf3f94a,Cristina Stanciu,1994-03-29,160.02,,,Orthodox
04095029-9bea-5d3b-b4b9-8c1bc712cdad,Nik Theotikos,,,,,Orthodox
0409d414-237f-5d08-9d60-2a995e714bc0,Lionel Lanham,1980-08-31,,,,
04159516-50db-5eee-9f27-c277cdc8bc3e,Nick Barnes,,180.34,,,
041a4576-1fcd-5926-9550-e3b6cc8c8c1f,Mario Rivera,,177.8,,,
04506dcc-1547-585d-86ba-dcd257fc729c,Shamil Abdurakhimov,1981-09-02,190.5,193.04,,Orthodox
0455c50c-e32b-5c40-9fcc-c809c30d3fe2,Dan Lauzon,1988-03-30,177.8,,,Orthodox
045b62ee-ff85-5eee-bf2b-b50ef577cc7f,Brandon Royval,1992-08-16,175.26,172.72,,Southpaw
