year,fights,actual_round_rows,summary_rows,knock_down_nonnull_fraction,sig_str_att_nonnull_fraction,sig_str_land_nonnull_fraction,tot_str_att_nonnull_fraction,tot_str_land_nonnull_fraction,grap_take_att_nonnull_fraction,grap_take_land_nonnull_fraction,grap_sub_att_nonnull_fraction,grap_rev_land_nonnull_fraction,grap_stand_land_nonnull_fraction,head_sig_str_att_nonnull_fraction,head_sig_str_land_nonnull_fraction,body_sig_str_att_nonnull_fraction,body_sig_str_land_nonnull_fraction,legs_sig_str_att_nonnull_fraction,legs_sig_str_land_nonnull_fraction,dist_str_att_nonnull_fraction,dist_str_land_nonnull_fraction,clinch_sig_str_att_nonnull_fraction,clinch_sig_str_land_nonnull_fraction,ground_sig_str_att_nonnull_fraction,ground_sig_str_land_nonnull_fraction,standing_time_nonnull_fraction,neutral_time_nonnull_fraction,distance_time_nonnull_fraction,clinch_time_nonnull_fraction,ground_time_nonnull_fraction,control_time_nonnull_fraction,ground_ctl_time_nonnull_fraction,guard_ctl_time_nonnull_fraction,half_guard_ctl_time_nonnull_fraction,side_ctl_time_nonnull_fraction,mount_ctl_time_nonnull_fraction,back_ctl_time_nonnull_fraction,msc_ground_ctl__time_nonnull_fraction
1993,8,16,16,0.5625,0.125,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,29,62,60,0.5573770491803278,0.13114754098360656,1.0,0.9918032786885246,0.9918032786885246,1.0,1.0,1.0,0.8688524590163934,0.9836065573770492,1.0,1.0,1.0,1.0,1.0,1.0,0.9836065573770492,0.9836065573770492,1.0,1.0,0.14754098360655737,0.14754098360655737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,33,72,66,0.5797101449275363,0.11594202898550725,1.0,1.0,1.0,1.0,1.0,1.0,0.8840579710144928,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11594202898550725,0.11594202898550725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,35,76,70,0.5753424657534246,0.1095890410958904,1.0,1.0,1.0,1.0,1.0,1.0,0.8904109589041096,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1095890410958904,0.1095890410958904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,32,76,64,0.5714285714285714,0.05714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,0.9428571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05714285714285714,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,20,58,40,0.5918367346938775,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,43,158,88,0.6666666666666666,0.056910569105691054,1.0,1.0,1.0,1.0,1.0,1.0,0.967479674796748,0.975609756097561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.056910569105691054,0.056910569105691054,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025
2000,41,174,82,0.6796875,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,40,183,78,0.7011494252873564,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,53,232,106,0.6863905325443787,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
