article_candidate_index,article_url,article_title,article_published_time,source_path,source_line_number,bout_ordinal_in_article,fighter_a_text,fighter_b_text,scale_weight_a_lbs,scale_weight_b_lbs,marker_a,marker_b,raw_source_line,extraction_rule,review_status
0,https://www.ufc.com/news/fight-island-2-official-weigh-results,Fight Island 2 Official Weigh-in Results,2020-07-16T15:24:58-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000000_fight-island-2-official-weigh-results-e63e97aa2dfe.html,49,1,Deiveson Figueiredo,Joseph Benavidez,125,125,,,Deiveson Figueiredo (125) vs Joseph Benavidez (125),explicit_parenthetical_weights_vs,candidate
0,https://www.ufc.com/news/fight-island-2-official-weigh-results,Fight Island 2 Official Weigh-in Results,2020-07-16T15:24:58-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000000_fight-island-2-official-weigh-results-e63e97aa2dfe.html,50,2,Jack Hermansson,Kelvin Gastelum,186,186,,,Jack Hermansson (186) vs Kelvin Gastelum (186),explicit_parenthetical_weights_vs,candidate
0,https://www.ufc.com/news/fight-island-2-official-weigh-results,Fight Island 2 Official Weigh-in Results,2020-07-16T15:24:58-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000000_fight-island-2-official-weigh-results-e63e97aa2dfe.html,51,3,Marc Diakiese,Rafael Fiziev,156,156,,,Marc Diakiese (156) vs Rafael Fiziev (156),explicit_parenthetical_weights_vs,candidate
0,https://www.ufc.com/news/fight-island-2-official-weigh-results,Fight Island 2 Official Weigh-in Results,2020-07-16T15:24:58-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000000_fight-island-2-official-weigh-results-e63e97aa2dfe.html,52,4,Ariane Lipski,Luana Carolina,126,126,,,Ariane Lipski (126) vs Luana Carolina (126),explicit_parenthetical_weights_vs,candidate
0,https://www.ufc.com/news/fight-island-2-official-weigh-results,Fight Island 2 Official Weigh-in Results,2020-07-16T15:24:58-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000000_fight-island-2-official-weigh-results-e63e97aa2dfe.html,53,5,Alexandre Pantoja,Askar Askarov,125,126,,,Alexandre Pantoja (125) vs Askar Askarov (126),explicit_parenthetical_weights_vs,candidate
0,https://www.ufc.com/news/fight-island-2-official-weigh-results,Fight Island 2 Official Weigh-in Results,2020-07-16T15:24:58-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000000_fight-island-2-official-weigh-results-e63e97aa2dfe.html,56,6,Roman Dolidze,Khadis Ibragimov,206,206,,,Roman Dolidze (206) vs Khadis Ibragimov (206),explicit_parenthetical_weights_vs,candidate
0,https://www.ufc.com/news/fight-island-2-official-weigh-results,Fight Island 2 Official Weigh-in Results,2020-07-16T15:24:58-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000000_fight-island-2-official-weigh-results-e63e97aa2dfe.html,57,7,Grant Dawson,Nad Darimani,150,150,,,Grant Dawson (150) vs Nad Darimani (150),explicit_parenthetical_weights_vs,candidate
0,https://www.ufc.com/news/fight-island-2-official-weigh-results,Fight Island 2 Official Weigh-in Results,2020-07-16T15:24:58-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000000_fight-island-2-official-weigh-results-e63e97aa2dfe.html,58,8,Joe Duffy,Joel Alvarez,155.5,156,,,Joe Duffy (155.5) vs Joel Alvarez (156),explicit_parenthetical_weights_vs,candidate
0,https://www.ufc.com/news/fight-island-2-official-weigh-results,Fight Island 2 Official Weigh-in Results,2020-07-16T15:24:58-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000000_fight-island-2-official-weigh-results-e63e97aa2dfe.html,59,9,Brett Johns,Montel Jackson,136,136,,,Brett Johns (136) vs Montel Jackson (136),explicit_parenthetical_weights_vs,candidate
0,https://www.ufc.com/news/fight-island-2-official-weigh-results,Fight Island 2 Official Weigh-in Results,2020-07-16T15:24:58-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000000_fight-island-2-official-weigh-results-e63e97aa2dfe.html,60,10,Malcolm Gordon,Amir Albazi,135,136,,,Malcolm Gordon (135) vs Amir Albazi (136),explicit_parenthetical_weights_vs,candidate
