external_fighter_url,external_fighter_name,external_birth_date,canonical_fighter_id,canonical_name,canonical_dob,match_method,review_status,match_confidence
/fighter/Kharun-Atlangeriev-167431,Kharun Atlangeriev,1992-10-05,,,,,unmatched_exact_name,
/fighter/Shojin-Miki-157565,Shojin Miki,,,,,,unmatched_exact_name,
/fighter/Ryan-Keenan-33827,Ryan Keenan,1985-06-15,454e85db-3a01-5fa3-9890-3e6dbee52eef,Ryan Keenan,1985-06-15,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Dustin-Jacoby-73825,Dustin Jacoby,1988-04-04,83f7cde3-00bc-54f5-9e36-14467911b07f,Dustin Jacoby,1988-04-04,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Richardson-Moreira-72825,Richardson Moreira,1984-03-31,42a66997-e180-5cb2-9ec6-f24d70aa4bcb,Richardson Moreira,1984-03-31,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Chris-Haseman-1449,Chris Haseman,1969-06-02,a8d7a040-8bc0-5d66-8ef6-487037900829,Chris Haseman,1969-06-02,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Fares-Ziam-184241,Fares Ziam,1997-03-21,80d0d43e-bb99-50bc-93f7-364b6519c2e7,Fares Ziam,1997-03-21,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/James-Bochnovic-130011,James Bochnovic,1989-02-13,ea8a9652-122c-5f02-9b0c-29aec83e75f7,James Bochnovic,1989-02-13,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Adrian-Pang-8427,Adrian Pang,1977-09-02,,,,,unmatched_exact_name,
/fighter/Haobin-Ma-214849,Haobin Ma,1994-01-23,,,,,unmatched_exact_name,
/fighter/Lance-Everson-10333,Lance Everson,,,,,,unmatched_exact_name,
/fighter/Journey-Newson-77464,Journey Newson,1989-03-07,8b249969-8054-58aa-863c-6a93199161fd,Journey Newson,1989-03-07,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Christian-Wellisch-3328,Christian Wellisch,,a38751f3-1c2c-522d-b245-bcb991bdb6b1,Christian Wellisch,1975-09-13,exact_normalized_name_unique_dob_not_jointly_observed,candidate,0.95
/fighter/Ryuichiro-Sumimura-56159,Ryuichiro Sumimura,1986-02-14,,,,,unmatched_exact_name,
/fighter/Michael-Chiesa-46224,Michael Chiesa,1987-12-07,22f2755e-329d-5dd9-b304-b1173ad5a624,Michael Chiesa,1987-12-07,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Klidson-Abreu-111535,Klidson Abreu,1992-12-24,42725a64-a89e-5ebb-b055-59fb32becaac,Klidson Abreu,1992-12-24,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/John-Kolosci-9062,John Kolosci,1974-11-26,7eb0eeb3-6d2f-56a4-aa21-2cb6de75e2bd,John Kolosci,1974-11-26,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Giorgio-Pietrini-117093,Giorgio Pietrini,1991-06-23,,,,,unmatched_exact_name,
/fighter/Sidemar-Honorio-20757,Sidemar Honorio,1980-05-05,,,,,unmatched_exact_name,
/fighter/Sultan-Umar-222829,Sultan Umar,1986-02-08,,,,,unmatched_exact_name,
/fighter/Xavier-Siller-126081,Xavier Siller,1994-06-06,57ed7d65-cb48-5d7f-9bf5-ac3ed5731292,Xavier Siller,1994-06-06,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
