source_event_url,source_match_nr,source_event_title,source_organisation,source_event_date,fighter1_url,fighter2_url,fighter1_name,fighter2_name,fighter1_canonical_id,fighter2_canonical_id,trusted_fighter_count,canonical_pair_fight_count,canonical_pair_same_date_count,canonical_fight_id,canonical_event_id,classification,review_status
/events/UFC-265-Lewis-vs-Gane-89140,13,UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,/fighter/Ciryl-Gane-293973,/fighter/Derrick-Lewis-59284,Ciryl Gane,Derrick Lewis,,af2f92c5-8c8c-58ed-a930-37206d43571f,1,0,0,,,unresolved_trusted_fighter_identity,audit_only
/events/UFC-265-Lewis-vs-Gane-89140,12,UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,/fighter/Jose-Aldo-11506,/fighter/Pedro-Munhoz-52407,Jose Aldo,Pedro Munhoz,c379b101-fb16-5175-973d-cff24e20549e,1162276b-072f-5b63-ae1c-82ed42d2fffd,2,1,1,c292ee35-64d9-5542-9baf-f87b063fd60e,ed11f74c-ff18-532c-b132-52c8dac8bffd,exact_ufc_overlap_pair_plus_date,audit_only
/events/UFC-265-Lewis-vs-Gane-89140,11,UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,/fighter/Vicente-Luque-66474,/fighter/Michael-Chiesa-46224,Vicente Luque,Michael Chiesa,d5b21fd8-dafd-5207-99bd-7da545696969,22f2755e-329d-5dd9-b304-b1173ad5a624,2,1,1,453bda44-e95c-510d-94cc-7f21c4121530,ed11f74c-ff18-532c-b132-52c8dac8bffd,exact_ufc_overlap_pair_plus_date,audit_only
/events/UFC-265-Lewis-vs-Gane-89140,10,UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,/fighter/Tecia-Torres-85096,/fighter/Angela-Hill-148517,Tecia Torres,Angela Hill,,e9145a40-c76f-5a1e-84e1-0543a5d04e5b,1,0,0,,,unresolved_trusted_fighter_identity,audit_only
/events/UFC-265-Lewis-vs-Gane-89140,9,UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,/fighter/Yadong-Song-103807,/fighter/Casey-Kenney-211031,Yadong Song,Casey Kenney,,2905bff4-085c-5182-80e7-28147ad5707a,1,0,0,,,unresolved_trusted_fighter_identity,audit_only
/events/UFC-265-Lewis-vs-Gane-89140,8,UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,/fighter/Rafael-Fiziev-202657,/fighter/Bobby-Green-27953,Rafael Fiziev,Bobby Green,5f98d6cc-6891-508d-a7a2-36ae479a868c,,1,0,0,,,unresolved_trusted_fighter_identity,audit_only
/events/UFC-265-Lewis-vs-Gane-89140,7,UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,/fighter/Vince-Morales-177019,/fighter/Drako-Rodriguez-203421,Vince Morales,Drako Rodriguez,32bf99a8-a421-5b59-b23e-d631d2d4fad2,5c4ce773-0925-5c68-9f30-7d8a83680852,2,1,1,dcaff6d9-5001-5e92-915a-97a9176a5c68,ed11f74c-ff18-532c-b132-52c8dac8bffd,exact_ufc_overlap_pair_plus_date,audit_only
/events/UFC-265-Lewis-vs-Gane-89140,6,UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,/fighter/Alonzo-Menifield-210501,/fighter/Ed-Herman-6561,Alonzo Menifield,Ed Herman,0671030d-26f6-5dd0-aa4c-c5f74aaab71a,1b6d8d96-dbb7-52dd-bcde-295df13d10e5,2,1,1,a34a43c9-4e53-5754-a193-4c1f314aa6fb,ed11f74c-ff18-532c-b132-52c8dac8bffd,exact_ufc_overlap_pair_plus_date,audit_only
/events/UFC-265-Lewis-vs-Gane-89140,5,UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,/fighter/Jessica-Penne-21247,/fighter/Karolina-Kowalkiewicz-101401,Jessica Penne,Karolina Kowalkiewicz,3de2b298-d7c4-5cf7-8f07-8f1472d0a6f3,8a5eea0d-b63b-5a6a-afe3-120cfd354963,2,1,1,ef748cdc-e65c-5fcd-b289-f720e54538fa,ed11f74c-ff18-532c-b132-52c8dac8bffd,exact_ufc_overlap_pair_plus_date,audit_only
/events/UFC-265-Lewis-vs-Gane-89140,4,UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,/fighter/Manel-Kape-101189,/fighter/Ode-Osbourne-137969,Manel Kape,Ode Osbourne,705e8617-8360-55a6-8143-95a7ec0f2258,d0b74625-c1d8-5158-86e7-995ec0509d48,2,1,1,835c6583-06c9-5d2f-a884-e9f107fe9b60,ed11f74c-ff18-532c-b132-52c8dac8bffd,exact_ufc_overlap_pair_plus_date,audit_only
