ranking_fighter_name,normalized_name,greco_fighter_name,greco_fighter_url,match_method,review_status
Aaron Pico,aaronpico,Aaron Pico,http://ufcstats.com/fighter-details/5537efc6e496dd84,exact_normalized_display_name_unique,candidate
Abus Magomedov,abusmagomedov,Abus Magomedov,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4,exact_normalized_display_name_unique,candidate
Adrian Yanez,adrianyanez,Adrian Yanez,http://ufcstats.com/fighter-details/0232cabbc30a2372,exact_normalized_display_name_unique,candidate
Aiemann Zahabi,aiemannzahabi,Aiemann Zahabi,http://ufcstats.com/fighter-details/24656ef4d605c96f,exact_normalized_display_name_unique,candidate
Ailin Perez,ailinperez,Ailin Perez,http://ufcstats.com/fighter-details/06e4245d16fc5315,exact_normalized_display_name_unique,candidate
Aisling Daly,aislingdaly,Aisling Daly,http://ufcstats.com/fighter-details/e50cd77732d39967,exact_normalized_display_name_unique,candidate
Al Iaquinta,aliaquinta,Al Iaquinta,http://ufcstats.com/fighter-details/59279a7c978f7da0,exact_normalized_display_name_unique,candidate
Alan Belcher,alanbelcher,Alan Belcher,http://ufcstats.com/fighter-details/4130a743d9d22163,exact_normalized_display_name_unique,candidate
Albert Tumenov,alberttumenov,Albert Tumenov,http://ufcstats.com/fighter-details/ff6a1f63c254127e,exact_normalized_display_name_unique,candidate
Alejandro Perez,alejandroperez,Alejandro Perez,http://ufcstats.com/fighter-details/80daefbed11ce998,exact_normalized_display_name_unique,candidate
Aleksandar Rakic,aleksandarrakic,Aleksandar Rakic,http://ufcstats.com/fighter-details/333b9e5c723ac873,exact_normalized_display_name_unique,candidate
Aleksei Oleinik,alekseioleinik,Aleksei Oleinik,http://ufcstats.com/fighter-details/98c23cb6da5b3352,exact_normalized_display_name_unique,candidate
Alex Caceres,alexcaceres,Alex Caceres,http://ufcstats.com/fighter-details/7aa3d6964eff4877,exact_normalized_display_name_unique,candidate
Alex Oliveira,alexoliveira,Alex Oliveira,http://ufcstats.com/fighter-details/57b10fca4f9c9a7a,exact_normalized_display_name_unique,candidate
Alex Pereira,alexpereira,Alex Pereira,http://ufcstats.com/fighter-details/e5549c82bfb5582d,exact_normalized_display_name_unique,candidate
Alex Perez,alexperez,Alex Perez,http://ufcstats.com/fighter-details/ab2b4ff41d6ebe0f,exact_normalized_display_name_unique,candidate
Alexa Grasso,alexagrasso,Alexa Grasso,http://ufcstats.com/fighter-details/e8b731feff72294b,exact_normalized_display_name_unique,candidate
Alexander Gustafsson,alexandergustafsson,Alexander Gustafsson,http://ufcstats.com/fighter-details/3c6976f8182d9527,exact_normalized_display_name_unique,candidate
Alexander Hernandez,alexanderhernandez,Alexander Hernandez,http://ufcstats.com/fighter-details/262a7d06203657e6,exact_normalized_display_name_unique,candidate
Alexander Volkanovski,alexandervolkanovski,Alexander Volkanovski,http://ufcstats.com/fighter-details/e1248941344b3288,exact_normalized_display_name_unique,candidate
Alexander Volkov,alexandervolkov,Alexander Volkov,http://ufcstats.com/fighter-details/279566840aa55bf2,exact_normalized_display_name_unique,candidate
Alexandr Romanov,alexandrromanov,Alexandr Romanov,http://ufcstats.com/fighter-details/c0badf3243907e59,exact_normalized_display_name_unique,candidate
Alexandre Pantoja,alexandrepantoja,Alexandre Pantoja,http://ufcstats.com/fighter-details/a0f0004aadf10b71,exact_normalized_display_name_unique,candidate
Alexia Thainara,alexiathainara,Alexia Thainara,http://ufcstats.com/fighter-details/545092d13c67aa49,exact_normalized_display_name_unique,candidate
Alexis Davis,alexisdavis,Alexis Davis,http://ufcstats.com/fighter-details/4c2d90e335e6df19,exact_normalized_display_name_unique,candidate
Ali Bagautinov,alibagautinov,Ali Bagautinov,http://ufcstats.com/fighter-details/3dd92ff9fb0412b3,exact_normalized_display_name_unique,candidate
Alistair Overeem,alistairovereem,Alistair Overeem,http://ufcstats.com/fighter-details/b4ad3a06ee4d660c,exact_normalized_display_name_unique,candidate
Aljamain Sterling,aljamainsterling,Aljamain Sterling,http://ufcstats.com/fighter-details/cb696ebfb6598724,exact_normalized_display_name_unique,candidate
Alonzo Menifield,alonzomenifield,Alonzo Menifield,http://ufcstats.com/fighter-details/a495f599e787614f,exact_normalized_display_name_unique,candidate
Amanda Lemos,amandalemos,Amanda Lemos,http://ufcstats.com/fighter-details/3df5493bb279226f,exact_normalized_display_name_unique,candidate
Amanda Nunes,amandanunes,Amanda Nunes,http://ufcstats.com/fighter-details/80fa8218c99f9c58,exact_normalized_display_name_unique,candidate
Amanda Ribas,amandaribas,Amanda Ribas,http://ufcstats.com/fighter-details/beecb672a279223e,exact_normalized_display_name_unique,candidate
Amir Albazi,amiralbazi,Amir Albazi,http://ufcstats.com/fighter-details/6d35bf94f7d30241,exact_normalized_display_name_unique,candidate
Anderson Silva,andersonsilva,Anderson Silva,http://ufcstats.com/fighter-details/1f454354805b6f75,exact_normalized_display_name_unique,candidate
Andre Fili,andrefili,Andre Fili,http://ufcstats.com/fighter-details/8fd808923cffff82,exact_normalized_display_name_unique,candidate
Andre Muniz,andremuniz,Andre Muniz,http://ufcstats.com/fighter-details/886264a0c9f4ea5e,exact_normalized_display_name_unique,candidate
Andrea Lee,andrealee,Andrea Lee,http://ufcstats.com/fighter-details/05fa626cb33d15b8,exact_normalized_display_name_unique,candidate
Andrei Arlovski,andreiarlovski,Andrei Arlovski,http://ufcstats.com/fighter-details/3738e68d2261e60f,exact_normalized_display_name_unique,candidate
Angela Hill,angelahill,Angela Hill,http://ufcstats.com/fighter-details/f0feeb2192937424,exact_normalized_display_name_unique,candidate
Ante Delija,antedelija,Ante Delija,http://ufcstats.com/fighter-details/7d8435c56043b0ae,exact_normalized_display_name_unique,candidate
Anthony Hernandez,anthonyhernandez,Anthony Hernandez,http://ufcstats.com/fighter-details/093e1f5bb73850be,exact_normalized_display_name_unique,candidate
Anthony Johnson,anthonyjohnson,Anthony Johnson,http://ufcstats.com/fighter-details/365fee2da473b177,exact_normalized_display_name_unique,candidate
Anthony Pettis,anthonypettis,Anthony Pettis,http://ufcstats.com/fighter-details/cbb682f5fcc44bfc,exact_normalized_display_name_unique,candidate
Anthony Rocco Martin,anthonyroccomartin,Anthony Rocco Martin,http://ufcstats.com/fighter-details/5331b25a60417ffb,exact_normalized_display_name_unique,candidate
Anthony Smith,anthonysmith,Anthony Smith,http://ufcstats.com/fighter-details/d4c9dcd330403612,exact_normalized_display_name_unique,candidate
Antonina Shevchenko,antoninashevchenko,Antonina Shevchenko,http://ufcstats.com/fighter-details/d7338bcb141abd2c,exact_normalized_display_name_unique,candidate
Antonio Carlos Junior,antoniocarlosjunior,Antonio Carlos Junior,http://ufcstats.com/fighter-details/52e76bb4b3e852f3,exact_normalized_display_name_unique,candidate
Antonio Rodrigo Nogueira,antoniorodrigonogueira,Antonio Rodrigo Nogueira,http://ufcstats.com/fighter-details/ee9d73f4fee9cbdd,exact_normalized_display_name_unique,candidate
Antonio Silva,antoniosilva,Antonio Silva,http://ufcstats.com/fighter-details/8349d55cdecd393a,exact_normalized_display_name_unique,candidate
Ariane da Silva,arianedasilva,Ariane da Silva,http://ufcstats.com/fighter-details/6551c64fbcd1a467,exact_normalized_display_name_unique,candidate
Arman Tsarukyan,armantsarukyan,Arman Tsarukyan,http://ufcstats.com/fighter-details/eae48ff31db420c2,exact_normalized_display_name_unique,candidate
