ufc_fight_uuid,fight_nid,fightmetric_id,fight_title,ufc_event_uuid,event_nid,event_fightmetric_id,event_name,event_date,event_date_source_field
0003b24c-c525-4bee-a5ad-51a98eb4a9a9,131122,10719,Ode' Osbourne vs Assu Almabayev,6d0a4baf-55cb-4267-8204-3fbe4a2f2d0d,130943,1160,UFC Fight Night,2023-08-05,fight_card_time_main
0011a0bb-2725-46c1-a25e-c82a68d3183d,136294,11171,Angel Pacheco vs Caolán Loughran,2a26130f-0518-460c-afb1-dc5a4dd993e9,135595,1191,UFC Fight Night,2024-03-30,fight_card_time_main
0018eca8-05f5-45da-982c-7db3d9050e5a,32573,4419,Louis Gaudinot vs Tim Elliott,96ec1e8a-6d50-4818-8f69-39e446dd967f,35309,631,UFC 164,2013-08-31,fight_card_time_main
001e46b7-a056-49ec-9efa-c26113d17e71,96429,8052,Don Madge vs Farès Ziam,b53785cf-be71-4cbe-b900-1092d1931e6b,94527,936,UFC 242,2019-09-07,fight_card_time_main
001f090b-deb0-4865-a78d-2ad5d02670dd,33722,5875,Mike Wilkinson vs Makwan Amirkhani,e5c58409-3b31-4146-a454-55cf1caf8293,35415,763,UFC Fight Night,2016-02-27,fight_card_time_main
00208053-d806-4c31-88ed-0e09888ed391,29367,440,Clay Guida vs Justin James,32d3b06b-0744-4f25-9f9a-e882fa8fa258,35127,44,UFC 64,2006-10-14,fight_card_time_main
0023daa6-fbe6-4529-bc70-2204788897d9,99502,8319,Casey Kenney vs Merab Dvalishvili,7b5c45b6-b0d4-4e74-847e-7350189a6cb6,98699,960,UFC Fight Night,2020-02-15,fight_card_time_main
002403d1-2bdc-4b04-baa8-ed05f9a822bc,34260,6425,Devin Powell vs Drakkar Klose,15e12efb-fb5c-41f1-ae57-d14b29999d0a,35454,803,UFC Fight Night,2017-01-15,fight_card_time_main
003d81bd-9d5f-498b-9188-a7df1ae1a11f,119128,9776,Jake Hadley vs Allan Nascimento,ff5ce23e-8582-42af-8e5e-2917fa6f96dd,119130,1084,UFC Fight Night,2022-05-14,fight_card_time_main
004bd96f-4af4-43a2-9c80-65d30f5355b0,31192,2790,Melvin Guillard vs Waylon Lowe,8f354e76-ac18-4312-b6aa-f27cefa2bf16,35210,446,UFC 114,2010-05-29,fight_card_time_main
004eff52-21e3-4e09-ac4b-bca0fc08d920,154693,12689,Jiří Procházka vs Carlos Ulberg,814b4391-fc2f-42cf-bb6f-360773a75b96,154571,1306,UFC 327,2026-04-11,fight_card_time_main
005452f5-872a-401d-ae0f-914120509c94,131015,10708,Alex Munoz vs Carl Deaton,ce791fba-5ff5-41ac-b9d1-f5b72c4ae969,130069,1154,UFC Fight Night,2023-07-15,fight_card_time_main
005a6824-223a-4528-af94-dc9ce4ff3baf,34658,6940,Eddie Alvarez vs Justin Gaethje,8b751352-2727-4baf-9682-30a7e3b21f06,35488,850,UFC 218,2017-12-02,fight_card_time_main
005f35ed-5437-40c8-abf9-cde458c98e22,139375,11410,Nasrat Haqparast vs Jared Gordon,9765e29f-ee5b-4a45-a5b9-cd0560813c78,136307,1200,UFC Fight Night,2024-06-22,fight_card_time_main
005f985d-8131-4bc7-acf5-929e959d83f2,30197,59,Jim Miller vs Matt Wiman,3bbe1608-3ef9-4be5-a83f-96688cfe2d3c,35180,3,UFC Fight Night,2008-12-10,fight_card_time_main
00663ad1-0c97-4658-977a-37da4fb301e4,98712,8231,Mirsad Bektic vs Dan Ige,db6b3b55-5191-4ef7-9ac2-be776b04556a,98684,958,UFC 247,2020-02-08,fight_card_time_main
007145b7-e8ee-42a6-b1fe-9c86b74e4244,31504,248,Jon Koppenhaver vs Jared Rollins,1a7a4881-9f2e-46a5-a9af-e993c8917472,35169,22,The Ultimate Fighter,2007-12-09,fight_card_time_main
00724514-2a4b-4a83-9311-3ed03e16bc61,102500,8503,Tecia Pennington vs Brianna Fortino,cd43c48b-170e-464c-a606-99ed6a358908,100575,980,UFC Fight Night,2020-06-20,fight_card_time_main
007b3e69-d4f3-4d6c-a28c-91ce766e6ecc,153675,12617,Josh Emmett vs Kevin Vallejos,3c21ca94-3b98-424e-8f25-5fd4f9a8457a,153079,1300,UFC Fight Night,2026-03-14,fight_card_time_main
0089657f-89c7-487e-9e62-8bc5375f1cdc,102734,8561,Kay Hansen vs Jinh Yu Frey,cf8d8496-f5c4-44e2-8b16-1187495f3575,100800,976,UFC Fight Night,2020-06-27,fight_card_time_main
009a66a1-79a0-4c99-9cf9-49f668996ddc,34445,6696,Kailin Curran vs Alexandra Albu,67186c64-7cb8-4c2d-b294-9a10218e2600,35463,823,UFC 214,2017-07-29,fight_card_time_main
009e7c4d-28af-4706-9c30-689df672d424,31894,3660,Matt Brown vs Seth Baczynski,04ac2490-71f2-4e90-a57c-983baadcd610,35249,564,UFC 139,2011-11-19,fight_card_time_main
009f9a25-1e12-4d67-bac5-df3fcbc09dc8,88380,7276,Polyana Viana vs JJ Aldrich,1bec6d8f-e55b-425b-ac7b-b7b40447f265,88512,871,UFC 227,2018-08-04,fight_card_time_main
00a4403f-8cd4-4c82-96e8-57eef49ee90b,106078,8822,Sumudaerji vs Malcolm Gordon,88e671b7-cb69-484c-b065-c7ea37c377fe,106074,1010,UFC Fight Night,2020-11-28,fight_card_time_main
00ab9214-0a0b-4363-bb88-871f0e81330f,32664,4509,Gray Maynard vs Nate Diaz,4310c47d-21c2-4359-b119-56d4eef17f4a,35319,643,TUF 18 Finale,2013-11-30,fight_card_time_main
00afb117-33d7-4791-86eb-e4b0206781a3,157889,12920,King Green vs Terrance McKinney,a5b5b586-1b30-48df-8ff1-6ed08c35ded7,155865,1316,UFC 329,2026-07-11,fight_card_time_main
00b10356-eacb-4be1-938f-104a61920df4,29050,825,Randy Couture vs Kevin Randleman,63796d87-4b95-4a58-9b91-4d29e382a3fb,35089,91,UFC 28,2000-11-17,fight_card_time_main
00b5be6d-b57f-4a87-b839-8609d40186a6,103722,,swostipretrashothumodrifruluhiuethothotrakimegasopejeroshodotuslebevewobitrofrishicrachucrethadeuulicenukasogiuafrifrahuthashocrajatraprustejorupremaguspawefrunocra,baa5e63a-70cf-4ee9-9e34-0d7c6ec80fe5,102573,984,UFC Fight Night,2020-08-01,fight_card_time_main
00ba9971-1120-44b6-ab54-e7d3cda56298,33737,5813,Charles Oliveira vs Myles Jury,1dd3885e-de7e-4f76-814f-0c44c52aeab2,35410,750,UFC Fight Night,2015-12-19,fight_card_time_main
00c16231-2759-48cd-8132-f8a0c47727be,91284,7651,Scott Holtzman vs Nik Lentz,be1896da-9d0a-4362-961f-72cc0f1cfa44,90477,907,UFC Fight Night,2019-02-17,fight_card_time_main
00ca0ca1-8531-4b02-bf69-6c95d04e40d6,141272,11569,Geoff Neal vs Rafael Dos Anjos,90f784c6-2eaa-44b6-ab3d-8e29df30eb44,138411,1223,UFC 308,2024-10-26,fight_card_time_main
00cca892-aeeb-4c48-a3e9-32ad90ca4a00,102634,8555,Movsar Evloev vs Mike Grundy,cd176d03-88b5-4602-8702-b84280199d8d,102418,983,UFC Fight Night,2020-07-25,fight_card_time_main
00cd8bee-f2dd-45c4-85f7-8e8146bebda8,33640,5581,Keita Nakamura vs Li Jingliang,4cd679ec-7f02-4e20-b080-b75000adcd57,35401,740,UFC Fight Night,2015-09-27,fight_card_time_main
00cfe2d9-a260-41ff-a018-c62154c4a12b,135896,11146,Ronaldo Rodriguez vs Denys Bondar,6d8c40bc-682d-4e52-b661-a5d180dcf9d1,135594,1189,UFC Fight Night,2024-02-24,fight_card_time_main
00dd1ac0-4140-41fc-bbe2-60afe3dac62c,30111,66,Mark Bocek vs Alvin Robinson,0ee73b25-f9b3-4240-b7a4-35c15202f5a4,35176,4,UFC 91,2008-11-15,fight_card_time_main
00fcd2a2-78be-4db6-ad1c-2841a0b9b7fb,105662,8785,King Green vs Thiago Moisés,17ac0cbc-eb9f-488c-b588-e490389c50af,105427,1004,UFC Fight Night,2020-10-31,fight_card_time_main
00ffb16a-5960-41e9-b60c-a98b4fc2233f,126875,10408,Michelle Waterson-Gomez vs Luana Pinheiro,1a80320a-5162-40ab-86a7-5fcb5698a302,126387,1135,UFC 287,2023-04-08,fight_card_time_main
0115072c-0752-4e5b-8128-91ccd49c5f81,99324,8276,Sabina Mazo vs JJ Aldrich,9eb46199-49b6-46db-a652-3c72242e1af7,99060,963,UFC 246,2020-01-18,fight_card_time_main
011894bf-1e63-4048-8bfe-5f2993c9cef2,34682,6962,Sabah Homasi vs Abdul Razak Alhassan,8b751352-2727-4baf-9682-30a7e3b21f06,35488,850,UFC 218,2017-12-02,fight_card_time_main
0123de45-a1f9-4528-a345-b9594ba8e1f1,32374,4220,Georges St-Pierre vs Nick Diaz,1983c844-ad9f-4577-8934-ac29414e37f6,35298,619,UFC 158,2013-03-16,fight_card_time_main
01247c00-3a7a-4372-803d-74a8ac1b97c0,28893,1688,Mark Coleman vs Julian Sanchez,a63eb421-0d2c-47f1-9d99-e2043b61757f,35071,111,UFC 11,1996-09-20,fight_card_time_main
012bb51a-7941-451c-8743-8a9578760329,94222,7855,Marlon Vera vs Nohelin Hernandez,3f07c518-959f-4bae-b23d-5218301f0fb2,92931,924,UFC 239,2019-07-06,fight_card_time_main
01359c77-5685-4489-9640-9ffae29c82c1,33001,4849,Kenny Robertson vs Ildemar Alcantara,8765b591-55ea-4c1e-84e8-58bc5498bb46,35348,673,UFC 175,2014-07-05,fight_card_time_main
0139fdc8-5ddc-437e-80cf-28f5a196a9c5,113163,9374,Li Jingliang vs Khamzat Chimaev,726a46fb-e74b-4f2e-9cce-aefbb40a297d,113159,1054,UFC 267,2021-10-30,fight_card_time_main
013b8d89-47c2-43b8-96b4-62ff3b6917fa,136336,11192,Rinya Nakamura vs Carlos Vera,cf1b582f-c568-4281-b8f8-d93504a1fbd9,134653,1183,UFC 298,2024-02-17,fight_card_time_main
0140f45a-53cc-4e7b-94bc-3c9b2d26a8a0,33571,5566,Dustin Ortiz vs Willie Gates,133b66cc-3ad1-476b-a933-88c4d59149dd,35398,738,UFC Fight Night,2015-08-08,fight_card_time_main
0154b4a0-12af-4652-ad2e-5c3d8b846f1c,33846,6034,Fabricio Werdum vs Stipe Miocic,85e458ab-b926-4f5b-a137-7fb6781c44c8,35425,770,UFC 198,2016-05-14,fight_card_time_main
01657d42-2b05-418c-a4ef-2cddba96b73c,153673,12648,Javid Basharat vs Gianni Vazquez,98704264-1fed-42d7-98d3-2658e3699fa3,153076,1298,UFC Fight Night,2026-02-07,fight_card_time_main
0168fd9c-7743-4314-9e64-ebfc7e3e4c4a,29338,505,Michael Bisping vs Josh Haynes,03ff0e9b-4d4b-443c-be11-cf9785d3773b,35124,51,The Ultimate Fighter 3 Finale,2006-06-24,fight_card_time_main
016cc97b-fa2e-43a3-8cab-d3a645b0dc9d,34627,6761,Ovince Saint Preux vs Yushin Okami,47b5999b-c9c2-4f67-86f1-39d82fde87b2,35480,835,UFC Fight Night,2017-09-22,fight_card_time_main
016da387-56ec-47ac-922b-1e0a8894c238,116401,9605,Katlyn Chookagian vs Jennifer Maia,2bd55ece-0513-4a37-9540-80169afa5cba,115644,1068,UFC Fight Night,2022-01-15,fight_card_time_main
0175c7a3-f835-4a0c-8a9a-232a412d31b4,129071,10495,Anthony Smith vs Johnny Walker,df1494f9-b094-445b-aa8a-482abdee00b5,128929,1143,UFC Fight Night,2023-05-13,fight_card_time_main
