fightmetric_id,ufc_fight_uuid,drupal_internal_nid,red_athlete_uuid,blue_athlete_uuid,winner_athlete_uuid,title,final_method,final_round,final_time
30,6b2b73e3-cf87-4e67-877a-a032ae81dea4,30176,982de11b-fe10-41f3-8b82-24e58a485f73,3997a81b-472b-4b8f-aca5-83536195dcd4,982de11b-fe10-41f3-8b82-24e58a485f73,Pat Barry vs Dan Evensen,KO/TKO,1,00:02:36
31,d313988d-79b8-4b15-a710-49b696fa3c4d,30171,5b097578-6840-43e6-84d1-07d9ff852040,4128321d-87a0-4b42-9e07-7c09435d1099,5b097578-6840-43e6-84d1-07d9ff852040,CB Dollaway vs Mike Massenzio,KO/TKO,1,00:03:01
32,91699d90-8839-413d-9d33-445a205c06e1,30170,5a6e2b56-4b24-43a0-af15-a25d739dfdbe,88b6643c-62e4-45b6-b27e-05f2c9828670,5a6e2b56-4b24-43a0-af15-a25d739dfdbe,Rampage Jackson vs Wanderlei Silva,KO/TKO,1,00:03:21
33,f39e60a6-21f6-48a0-8fdf-2f274286a431,30175,9386590d-f6c2-4add-9a4a-4c283e0771fd,766c3cad-aaef-49b0-b78b-b30dc558d897,9386590d-f6c2-4add-9a4a-4c283e0771fd,Cheick Kongo vs Mostapha Al Turk,KO/TKO,1,00:04:37
34,ee2019ad-a3ed-4bd3-9c40-513a8f662985,30174,a35bbeb6-3e07-48ed-925a-c34c1bcdb5ee,70be27db-5497-42ff-8026-3b761c619241,a35bbeb6-3e07-48ed-925a-c34c1bcdb5ee,Matt Hamill vs Reese Andy,KO/TKO,2,00:02:19
35,3dbf9ee6-a02c-4464-9ed1-c30cfb1dcc10,30177,53404a43-d36f-42cd-a5f5-421536ae93d4,43dbb170-e153-4e95-9d6c-71434b371762,53404a43-d36f-42cd-a5f5-421536ae93d4,Antoni Hardonk vs Mike Wessel,KO/TKO,2,00:02:09
36,e8ae507e-ee12-44ef-b7c0-a4d78d9741e9,30169,68464e94-7185-4f4f-bf9b-80098e62330a,0dd23e83-b005-4f20-a8ba-1d032a61af10,68464e94-7185-4f4f-bf9b-80098e62330a,Frank Mir vs Minotauro Nogueira,KO/TKO,2,00:01:54
37,2b7a6318-c8fe-4f6e-a436-9f3ae86f085e,30173,edb759e7-a7c7-42f4-b304-4c3e530d04c0,843babf6-3cea-409b-be70-e2426d277714,edb759e7-a7c7-42f4-b304-4c3e530d04c0,Brad Blackburn vs Ryo Chonan,Decision - Unanimous,3,00:05:00
38,412ac8be-080b-4765-ab1f-b7f996e45e48,30168,3ce6021b-e82d-45c8-9a6c-27d1c93a4ce8,491691d3-f9ad-40ec-98d3-fe26cafb8ae8,3ce6021b-e82d-45c8-9a6c-27d1c93a4ce8,Rashad Evans vs Forrest Griffin,KO/TKO,3,00:02:46
39,b8f11e40-51fc-4794-9ede-334f485ed8ba,30172,5eaa9993-a1b8-4876-83b7-4db8148251e4,740007bc-0dfb-4a0a-8e58-4e8c7617e0af,5eaa9993-a1b8-4876-83b7-4db8148251e4,Yushin Okami vs Dean Lister,Decision - Unanimous,3,00:05:00
40,3f0c13d3-667b-476b-bf6e-f0487f384e00,30136,4b701fbf-e1f9-4e6a-8688-ca0678568e3e,e375eb4b-2caf-461d-b941-bce93be7acb0,4b701fbf-e1f9-4e6a-8688-ca0678568e3e,Ryan Bader vs Vinny Magalhaes,KO/TKO,1,00:02:18
41,fc3a8879-ef27-4302-ad2c-dc0ec066791a,30129,1bb4c454-d073-4b20-8dd7-d38165b823d0,97204f32-d512-404f-9601-3d34a1b7ae1f,1bb4c454-d073-4b20-8dd7-d38165b823d0,Wilson Gouveia vs Jason MacDonald,KO/TKO,1,00:02:18
42,62201f80-7dd0-4b6f-996a-81c3683e0bb4,30133,62af6051-c873-447e-9a54-83151f5de722,c347114c-fe4a-4924-b4c9-63d989e95b37,62af6051-c873-447e-9a54-83151f5de722,Eliot Marshall vs Jules Bruchez,Submission,1,00:01:27
43,b351c885-d282-4fbe-bb79-fa2d8d2efcd3,30135,0f79fa17-cc40-4127-a941-c561fbaa5cb8,472a0a05-47e0-4e24-a74f-b334e9155db6,0f79fa17-cc40-4127-a941-c561fbaa5cb8,Junie Browning vs Dave Kaplan,Submission,2,00:01:32
44,bc180961-c7a3-4fdf-9fba-c727c558a86b,30130,d31027f3-f97e-43f8-a9ed-1193dc314e55,ca98c886-5beb-456c-94a8-a691a9e9fa80,d31027f3-f97e-43f8-a9ed-1193dc314e55,Rolando Delgado vs John Polakowski,Submission,2,00:02:18
45,cb1412d7-cafb-4ece-bd33-caae52ef13f3,30134,722dbc46-9038-4662-9189-bd78aafc511a,541c2a1e-0a20-4d51-93a9-29665dd3d351,722dbc46-9038-4662-9189-bd78aafc511a,Krzysztof Soszynski vs Shane Primm,Submission,2,00:03:27
46,cebf0180-5a3b-48e1-b705-e0dc0e43ce24,30137,315f9f9a-07cc-4029-9b0d-12fca05cceb1,cdeacde4-68d4-4c88-8452-4c21be782ba6,315f9f9a-07cc-4029-9b0d-12fca05cceb1,Efrain Escudero vs Phillipe Nover,Decision - Unanimous,3,00:05:00
47,de391a82-5f59-49f5-998d-da82e78cd09e,30128,b1afc1ac-b759-40bc-8182-83ec6e996b7c,1d401e34-3ff9-419f-8b51-b3627e44ff58,b1afc1ac-b759-40bc-8182-83ec6e996b7c,Anthony Johnson vs Kevin Burns,KO/TKO,3,00:00:28
48,bb72dcb1-01a9-475a-a9d1-3c9d91f7cac4,30132,8ea6e9b8-5968-41bc-a66c-26ca4ba8ab3d,170651d9-1fa4-480c-b50c-7df4759ed6f4,8ea6e9b8-5968-41bc-a66c-26ca4ba8ab3d,Tom Lawlor vs Kyle Kingsbury,Decision - Unanimous,3,00:05:00
49,fbb43e65-3e87-4b7b-b0f1-49662f365099,30131,41ca10b7-1400-49a6-b9d0-279916c222fe,4590e02c-22f1-4b83-8168-7126284952e6,41ca10b7-1400-49a6-b9d0-279916c222fe,Shane Nelson vs George Roop,Decision - Split,3,00:05:00
50,4540d160-7864-4611-a6db-1053394931d7,30194,e58c6357-410b-45d7-9946-20f15954a3e8,5491f1a6-b310-4f25-8738-c30af9028fc8,e58c6357-410b-45d7-9946-20f15954a3e8,Ben Saunders vs Brandon Wolff,KO/TKO,1,00:01:49
51,7a4db867-75d4-4584-ae74-9d7d5169ca81,30190,3fbd333f-5bc3-455e-9390-19ea949a5655,8c288396-d908-4e64-af5e-62883104151a,3fbd333f-5bc3-455e-9390-19ea949a5655,Steve Cantwell vs Razak Al-Hassan,Submission,1,00:04:04
52,be8a26e0-274b-46fa-8f41-eb88e95b007a,30189,2055caec-8c39-453b-a397-14fb6a8b921b,75d31148-1134-4066-9ad8-7092e08f8d89,2055caec-8c39-453b-a397-14fb6a8b921b,Mike Swick vs Jonathan Goulet,KO/TKO,1,00:00:33
53,c890e95f-3461-4b05-b6d9-755e7af93db2,30188,8d4be5e3-d27e-4f06-840e-d69f4a0c5d9f,,8d4be5e3-d27e-4f06-840e-d69f4a0c5d9f,Josh Koscheck vs ,KO/TKO,1,00:02:15
54,b541b164-1625-44e0-9972-b62395b1a657,30195,8822bc00-b0bb-4ca3-aae2-554c3d2a5b0d,2e9ac80a-3da1-471c-a233-b857929276f7,8822bc00-b0bb-4ca3-aae2-554c3d2a5b0d,Dale Hartt vs Corey Hill,KO/TKO,2,00:00:20
55,1e96049f-620d-4936-9981-12bb0dfd3b05,30193,05de1d91-7255-4c7a-9233-49d66014149e,eb46dd40-6598-4935-8288-dcf768f7394f,05de1d91-7255-4c7a-9233-49d66014149e,Steve Bruno vs Johnny Rees,Submission,2,00:03:44
56,3276a75d-48b0-443b-9435-981777e28469,30191,56a01ec8-090a-4778-9047-0cb1ffa5e604,12743b24-2bee-47df-9d4d-783c5b488b5f,56a01ec8-090a-4778-9047-0cb1ffa5e604,Tim Credeur vs Nate Loughran,KO/TKO,2,00:05:00
57,a8a6f61c-1ed9-405a-a106-b2356c14eb25,30196,5ea320f2-9f08-4d7e-92c6-e4f9e1303aa1,b8070cbe-61b4-445a-a8fc-2e11503c8686,5ea320f2-9f08-4d7e-92c6-e4f9e1303aa1,Justin McCully vs Eddie Sanchez,Decision - Unanimous,3,00:05:00
