article_candidate_index,article_url,article_title,article_published_time,article_candidate_rows,rows_with_unique_name_transport,rows_with_canonical_pair,rows_with_unique_event_candidate,distinct_candidate_events,intersection_event_count,intersection_event_id,unique_vote_event_count,unique_vote_top_event_id,unique_vote_top_support,unique_vote_second_support,unique_vote_unanimous,candidate_event_id,candidate_event_name,candidate_event_date,consensus_status,review_status
0,https://www.ufc.com/news/fight-island-2-official-weigh-results,Fight Island 2 Official Weigh-in Results,2020-07-16T15:24:58-0400,12,9,9,8,2,1,cd15f53b-d419-5854-9d48-b27f6917ea5f,1,cd15f53b-d419-5854-9d48-b27f6917ea5f,8,0,true,cd15f53b-d419-5854-9d48-b27f6917ea5f,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18,singleton_event_intersection_unpromoted,candidate
1,https://www.ufc.com/news/fight-night-adelaide-2015-weigh-results,Fight Night Adelaide 2015 Weigh-In Results,2018-09-14T08:36:04-0400,12,10,10,10,1,1,624fbb25-9c13-55d6-96db-a900d0474c30,1,624fbb25-9c13-55d6-96db-a900d0474c30,10,0,true,624fbb25-9c13-55d6-96db-a900d0474c30,UFC Fight Night: Miocic vs Hunt,2015-05-09,singleton_event_intersection_unpromoted,candidate
2,https://www.ufc.com/news/fight-night-argentina-official-weigh-results,Fight Night Argentina: Official Weigh-In Results,2018-11-16T07:13:35-0500,12,10,10,10,1,1,fc929cb7-48bf-5c10-8457-759f8543867d,1,fc929cb7-48bf-5c10-8457-759f8543867d,10,0,true,fc929cb7-48bf-5c10-8457-759f8543867d,UFC Fight Night: Magny vs. Ponzinibbio,2018-11-17,singleton_event_intersection_unpromoted,candidate
3,https://www.ufc.com/news/fight-night-arlovski-vs-barnett-weigh-results,Fight Night Arlovski vs Barnett weigh-in results,2018-09-14T08:36:04-0400,10,9,9,9,1,1,eb9fe1d2-d27d-55f1-b1b3-584a92db9c0e,1,eb9fe1d2-d27d-55f1-b1b3-584a92db9c0e,9,0,true,eb9fe1d2-d27d-55f1-b1b3-584a92db9c0e,UFC Fight Night: Arlovski vs. Barnett,2016-09-03,singleton_event_intersection_unpromoted,candidate
4,https://www.ufc.com/news/fight-night-atlantic-city-official-weigh-results,Fight Night Atlantic City: Official Weigh-in results,2018-09-14T08:36:04-0400,11,10,10,9,2,1,cc8714ae-eae7-52c0-a55b-63c2bc3474ec,1,cc8714ae-eae7-52c0-a55b-63c2bc3474ec,9,0,true,cc8714ae-eae7-52c0-a55b-63c2bc3474ec,UFC Fight Night: Barboza vs. Lee,2018-04-21,singleton_event_intersection_unpromoted,candidate
5,https://www.ufc.com/news/fight-night-auckland-official-weigh-results,Fight Night Auckland official weigh-in results,2018-09-14T08:36:04-0400,12,12,11,11,1,1,2ab92b5d-147f-5341-9711-37fa1a620f7e,1,2ab92b5d-147f-5341-9711-37fa1a620f7e,11,0,true,2ab92b5d-147f-5341-9711-37fa1a620f7e,UFC Fight Night: Lewis vs. Hunt,2017-06-10,singleton_event_intersection_unpromoted,candidate
6,https://www.ufc.com/news/fight-night-austin-2014-weigh-results,Fight Night Austin 2014 Weigh-In Results,2018-09-14T08:36:04-0400,12,9,9,7,3,1,80b4232f-a778-5b86-9c4b-583d632d98c6,1,80b4232f-a778-5b86-9c4b-583d632d98c6,7,0,true,80b4232f-a778-5b86-9c4b-583d632d98c6,UFC Fight Night: Edgar vs Swanson,2014-11-22,singleton_event_intersection_unpromoted,candidate
7,https://www.ufc.com/news/fight-night-austin-weigh-results,Fight Night Austin: Weigh-In Results,2018-09-14T08:36:04-0400,12,9,9,9,1,1,824848dd-1ded-54d7-8151-d47a6a497c22,1,824848dd-1ded-54d7-8151-d47a6a497c22,9,0,true,824848dd-1ded-54d7-8151-d47a6a497c22,UFC Fight Night: Cerrone vs. Medeiros,2018-02-18,singleton_event_intersection_unpromoted,candidate
8,https://www.ufc.com/news/fight-night-bangor-weigh-results,Fight Night Bangor Weigh-In Results,2018-09-14T08:36:04-0400,10,9,9,9,1,1,b6e55b9c-c845-5d6f-ae28-f84a374193df,1,b6e55b9c-c845-5d6f-ae28-f84a374193df,9,0,true,b6e55b9c-c845-5d6f-ae28-f84a374193df,UFC Fight Night: Bader vs Saint Preux,2014-08-16,singleton_event_intersection_unpromoted,candidate
9,https://www.ufc.com/news/fight-night-barueri-2014-weigh-results,Fight Night Barueri 2014 Weigh-In Results,2018-09-14T08:36:04-0400,11,9,9,9,1,1,c6e56063-a33d-5a6b-9ecf-27e2890cbc77,1,c6e56063-a33d-5a6b-9ecf-27e2890cbc77,9,0,true,c6e56063-a33d-5a6b-9ecf-27e2890cbc77,UFC Fight Night: Machida vs Dollaway,2014-12-20,singleton_event_intersection_unpromoted,candidate
10,https://www.ufc.com/news/fight-night-belem-weigh-results,Fight Night Belem: Weigh-in Results,2018-09-14T08:36:04-0400,12,11,11,11,2,0,,2,2778356d-17c2-54e6-8375-14bfe97898c0,10,1,false,,,,competing_unique_event_votes,candidate
11,https://www.ufc.com/news/fight-night-berlin-2015-weigh-results,Fight Night Berlin 2015 Weigh-In Results,2018-09-14T08:36:04-0400,11,10,10,10,1,1,6eb62ecb-4e4a-599c-8386-fa13084d164b,1,6eb62ecb-4e4a-599c-8386-fa13084d164b,10,0,true,6eb62ecb-4e4a-599c-8386-fa13084d164b,UFC Fight Night: Jedrzejczyk vs Penne,2015-06-20,singleton_event_intersection_unpromoted,candidate
