article_candidate_index,article_url,article_title,article_published_time,source_path,source_line_number,bout_ordinal_in_article,candidate_event_id,fight_id,fighter_id,opponent_id,source_side,fighter_text,opponent_text,scale_weight_lbs,marker,raw_source_line,identity_rule,review_status
0,https://www.ufc.com/news/fight-island-2-official-weigh-results,Fight Island 2 Official Weigh-in Results,2020-07-16T15:24:58-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000000_fight-island-2-official-weigh-results-e63e97aa2dfe.html,49,1,cd15f53b-d419-5854-9d48-b27f6917ea5f,6c610215-e1a4-5c4a-a193-2d43ee49977a,6985fff4-4475-52cc-9ad2-d54ba29c9320,7560682c-6b14-5974-9414-d818828b2c3a,a,Deiveson Figueiredo,Joseph Benavidez,125,,Deiveson Figueiredo (125) vs Joseph Benavidez (125),official_article_singleton_event_intersection+unique_contextual_participant_pair,high_confidence_identity_candidate
0,https://www.ufc.com/news/fight-island-2-official-weigh-results,Fight Island 2 Official Weigh-in Results,2020-07-16T15:24:58-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000000_fight-island-2-official-weigh-results-e63e97aa2dfe.html,49,1,cd15f53b-d419-5854-9d48-b27f6917ea5f,6c610215-e1a4-5c4a-a193-2d43ee49977a,7560682c-6b14-5974-9414-d818828b2c3a,6985fff4-4475-52cc-9ad2-d54ba29c9320,b,Joseph Benavidez,Deiveson Figueiredo,125,,Deiveson Figueiredo (125) vs Joseph Benavidez (125),official_article_singleton_event_intersection+unique_contextual_participant_pair,high_confidence_identity_candidate
0,https://www.ufc.com/news/fight-island-2-official-weigh-results,Fight Island 2 Official Weigh-in Results,2020-07-16T15:24:58-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000000_fight-island-2-official-weigh-results-e63e97aa2dfe.html,50,2,cd15f53b-d419-5854-9d48-b27f6917ea5f,1c31a8d5-952b-5350-8764-6ff938f93ea2,26d0a76c-1c95-55dd-87d8-349b336901fc,07507249-f672-5fd8-ba8a-8a2c46abb77a,a,Jack Hermansson,Kelvin Gastelum,186,,Jack Hermansson (186) vs Kelvin Gastelum (186),official_article_singleton_event_intersection+unique_contextual_participant_pair,high_confidence_identity_candidate
0,https://www.ufc.com/news/fight-island-2-official-weigh-results,Fight Island 2 Official Weigh-in Results,2020-07-16T15:24:58-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000000_fight-island-2-official-weigh-results-e63e97aa2dfe.html,50,2,cd15f53b-d419-5854-9d48-b27f6917ea5f,1c31a8d5-952b-5350-8764-6ff938f93ea2,07507249-f672-5fd8-ba8a-8a2c46abb77a,26d0a76c-1c95-55dd-87d8-349b336901fc,b,Kelvin Gastelum,Jack Hermansson,186,,Jack Hermansson (186) vs Kelvin Gastelum (186),official_article_singleton_event_intersection+unique_contextual_participant_pair,high_confidence_identity_candidate
0,https://www.ufc.com/news/fight-island-2-official-weigh-results,Fight Island 2 Official Weigh-in Results,2020-07-16T15:24:58-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000000_fight-island-2-official-weigh-results-e63e97aa2dfe.html,51,3,cd15f53b-d419-5854-9d48-b27f6917ea5f,8730f895-61cd-54f3-bc84-a48f74413103,6ef95b43-bd04-5f89-9c0f-3066fd1b04a9,5f98d6cc-6891-508d-a7a2-36ae479a868c,a,Marc Diakiese,Rafael Fiziev,156,,Marc Diakiese (156) vs Rafael Fiziev (156),official_article_singleton_event_intersection+unique_contextual_participant_pair,high_confidence_identity_candidate
0,https://www.ufc.com/news/fight-island-2-official-weigh-results,Fight Island 2 Official Weigh-in Results,2020-07-16T15:24:58-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000000_fight-island-2-official-weigh-results-e63e97aa2dfe.html,51,3,cd15f53b-d419-5854-9d48-b27f6917ea5f,8730f895-61cd-54f3-bc84-a48f74413103,5f98d6cc-6891-508d-a7a2-36ae479a868c,6ef95b43-bd04-5f89-9c0f-3066fd1b04a9,b,Rafael Fiziev,Marc Diakiese,156,,Marc Diakiese (156) vs Rafael Fiziev (156),official_article_singleton_event_intersection+unique_contextual_participant_pair,high_confidence_identity_candidate
0,https://www.ufc.com/news/fight-island-2-official-weigh-results,Fight Island 2 Official Weigh-in Results,2020-07-16T15:24:58-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000000_fight-island-2-official-weigh-results-e63e97aa2dfe.html,53,5,cd15f53b-d419-5854-9d48-b27f6917ea5f,b0c5d829-5c7b-5b4c-8f4d-bf48219d3bec,59500db3-cac4-572f-a5de-6c7b67ca6a7e,896d5d2e-2377-51a8-9c4f-39be7b5d390f,a,Alexandre Pantoja,Askar Askarov,125,,Alexandre Pantoja (125) vs Askar Askarov (126),official_article_singleton_event_intersection+unique_contextual_participant_pair,high_confidence_identity_candidate
0,https://www.ufc.com/news/fight-island-2-official-weigh-results,Fight Island 2 Official Weigh-in Results,2020-07-16T15:24:58-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000000_fight-island-2-official-weigh-results-e63e97aa2dfe.html,53,5,cd15f53b-d419-5854-9d48-b27f6917ea5f,b0c5d829-5c7b-5b4c-8f4d-bf48219d3bec,896d5d2e-2377-51a8-9c4f-39be7b5d390f,59500db3-cac4-572f-a5de-6c7b67ca6a7e,b,Askar Askarov,Alexandre Pantoja,126,,Alexandre Pantoja (125) vs Askar Askarov (126),official_article_singleton_event_intersection+unique_contextual_participant_pair,high_confidence_identity_candidate
0,https://www.ufc.com/news/fight-island-2-official-weigh-results,Fight Island 2 Official Weigh-in Results,2020-07-16T15:24:58-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000000_fight-island-2-official-weigh-results-e63e97aa2dfe.html,56,6,cd15f53b-d419-5854-9d48-b27f6917ea5f,3500ebb6-dfd9-57b4-84d7-43f4f879c924,01f050eb-e57a-55e3-8efe-0e264eeede2e,e5556ef8-6de0-58eb-bac5-5fb6c65f3020,a,Roman Dolidze,Khadis Ibragimov,206,,Roman Dolidze (206) vs Khadis Ibragimov (206),official_article_singleton_event_intersection+unique_contextual_participant_pair,high_confidence_identity_candidate
0,https://www.ufc.com/news/fight-island-2-official-weigh-results,Fight Island 2 Official Weigh-in Results,2020-07-16T15:24:58-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000000_fight-island-2-official-weigh-results-e63e97aa2dfe.html,56,6,cd15f53b-d419-5854-9d48-b27f6917ea5f,3500ebb6-dfd9-57b4-84d7-43f4f879c924,e5556ef8-6de0-58eb-bac5-5fb6c65f3020,01f050eb-e57a-55e3-8efe-0e264eeede2e,b,Khadis Ibragimov,Roman Dolidze,206,,Roman Dolidze (206) vs Khadis Ibragimov (206),official_article_singleton_event_intersection+unique_contextual_participant_pair,high_confidence_identity_candidate
