source_table,source_record_id,event,bout,fighter,reason,details
ufc_fight_details,http://ufcstats.com/fight-details/00566b4d89565373,UFC on FOX: Johnson vs. Benavidez 2,Urijah Faber vs. Michael McDonald,,unresolved_or_ambiguous_participant_identity,a_candidates=1;b_candidates=2
ufc_fight_details,http://ufcstats.com/fight-details/031e6624f96aceb8,UFC Fight Night: Chiesa vs. Magny,Mike Davis vs. Mason Jones,,unresolved_or_ambiguous_participant_identity,a_candidates=2;b_candidates=1
ufc_fight_details,http://ufcstats.com/fight-details/0494ebcee93e717b,UFC Fight Night: Ankalaev vs. Walker 2,Westin Wilson vs. Jean Silva,,unresolved_or_ambiguous_participant_identity,a_candidates=1;b_candidates=2
ufc_fight_details,http://ufcstats.com/fight-details/07a378b257aad5a9,UFC Fight Night: Lopes vs. Silva,Jose Daniel Medina vs. Dusko Todorovic,,unresolved_event_identity,
ufc_fight_details,http://ufcstats.com/fight-details/08c6b88ac22717ed,UFC Fight Night: McDonald vs. Lineker,Michael McDonald vs. John Lineker,,unresolved_or_ambiguous_participant_identity,a_candidates=2;b_candidates=1
ufc_fight_details,http://ufcstats.com/fight-details/11318a7807cee8ca,UFC Fight Night: Grasso vs. Shevchenko 2,Josefine Knutsson vs. Marnic Mann,,unresolved_event_identity,
ufc_fight_details,http://ufcstats.com/fight-details/114d2f6fcd3f6f00,UFC Fight Night: Lopes vs. Silva,Kelvin Gastelum vs. Dustin Stoltzfus,,unresolved_event_identity,
ufc_fight_details,http://ufcstats.com/fight-details/16523b1bec3cd7b0,UFC - Road to UFC 4.6,Nyamjargal Tumendemberel vs. Terrance Saeteurn,,unresolved_event_identity,
ufc_fight_details,http://ufcstats.com/fight-details/187681b2843174b5,UFC Fight Night: Poirier vs. Johnson,Jose Quinonez vs. Joey Gomez,,unresolved_or_ambiguous_participant_identity,a_candidates=1;b_candidates=2
ufc_fight_details,http://ufcstats.com/fight-details/18cdc16fc7ab7ce1,UFC Fight Night: Dillashaw vs Cruz,Rob Font vs. Joey Gomez,,unresolved_or_ambiguous_participant_identity,a_candidates=1;b_candidates=2
ufc_fight_details,http://ufcstats.com/fight-details/1a2d13834696c4ab,UFC Fight Night: Lee vs. Oliveira,Bruno Silva vs. David Dvorak,,unresolved_or_ambiguous_participant_identity,a_candidates=2;b_candidates=1
ufc_fight_details,http://ufcstats.com/fight-details/1a635a5e4551e7d5,UFC Fight Night: Covington vs. Buckley,Manel Kape vs. Bruno Silva,,unresolved_or_ambiguous_participant_identity,a_candidates=1;b_candidates=2
ufc_fight_details,http://ufcstats.com/fight-details/202c47db69768356,UFC Fight Night: Lopes vs. Silva,Alexander Hernandez vs. Diego Ferreira,,unresolved_event_identity,
ufc_fight_details,http://ufcstats.com/fight-details/20d74ed23d3e9b3a,UFC Fight Night: Muhammad vs. Bonfim,Bruno Silva vs. Edgar Chairez,,unresolved_or_ambiguous_participant_identity,a_candidates=2;b_candidates=1
ufc_fight_details,http://ufcstats.com/fight-details/226884e46a10865d,UFC Fight Night: Santos vs. Ankalaev,Alex Pereira vs. Bruno Silva,,unresolved_or_ambiguous_participant_identity,a_candidates=1;b_candidates=2
ufc_fight_details,http://ufcstats.com/fight-details/2750ac5854e8b28b,UFC - Ultimate Japan,Kazushi Sakuraba vs. Marcus Silveira,,duplicate_exact_event_bout_key,
ufc_fight_details,http://ufcstats.com/fight-details/2b7883b304b3df1c,UFC 303: Pereira vs. Prochazka 2,Charles Jourdain vs. Jean Silva,,unresolved_or_ambiguous_participant_identity,a_candidates=1;b_candidates=2
ufc_fight_details,http://ufcstats.com/fight-details/2e1435c160bfe8b2,UFC Fight Night: Grasso vs. Shevchenko 2,Daniel Zellhuber vs. Christos Giagos,,unresolved_event_identity,
ufc_fight_details,http://ufcstats.com/fight-details/2e7f8d0ad385876d,UFC Fight Night: Sterling vs. Zalal,Max Griffin vs. Victor Valenzuela,,unresolved_or_ambiguous_participant_identity,a_candidates=1;b_candidates=2
ufc_fight_details,http://ufcstats.com/fight-details/330506571d2778b1,UFC Fight Night: Dern vs. Yan,Mike Davis vs. Viacheslav Borshchev,,unresolved_or_ambiguous_participant_identity,a_candidates=2;b_candidates=1
ufc_fight_details,http://ufcstats.com/fight-details/33a93002fef6c89d,UFC 145: Jones vs Evans,Miguel Torres vs. Michael McDonald,,unresolved_or_ambiguous_participant_identity,a_candidates=1;b_candidates=2
ufc_fight_details,http://ufcstats.com/fight-details/352839a03b428e74,UFC Fight Night: Lopes vs. Silva,Claudio Puelles vs. Joaquim Silva,,unresolved_event_identity,
ufc_fight_details,http://ufcstats.com/fight-details/3859314324918eeb,UFC Fight Night: Ankalaev vs. Guskov,Nurullo Aliev vs. Mike Davis,,unresolved_or_ambiguous_participant_identity,a_candidates=1;b_candidates=2
ufc_fight_details,http://ufcstats.com/fight-details/38b6ef176439c39b,UFC Fight Night: Vera vs. Cruz,Bruno Silva vs. Gerald Meerschaert,,unresolved_or_ambiguous_participant_identity,a_candidates=2;b_candidates=1
ufc_fight_details,http://ufcstats.com/fight-details/3d6571790c21527c,UFC Fight Night: Dolidze vs. Hernandez,Julius Walker vs. Rafael Cerquiera,,unresolved_or_ambiguous_participant_identity,a_candidates=1;b_candidates=0
ufc_fight_details,http://ufcstats.com/fight-details/3dbf17b9946d26db,UFC on FUEL TV: Barao vs McDonald,Renan Barao vs. Michael McDonald,,unresolved_or_ambiguous_participant_identity,a_candidates=1;b_candidates=2
ufc_fight_details,http://ufcstats.com/fight-details/3dc1a6335d890650,UFC Fight Night: Lopes vs. Silva,Jesus Aguilar vs. Luis Gurule,,unresolved_event_identity,
ufc_fight_details,http://ufcstats.com/fight-details/3dd2fde7bff79c51,UFC Fight Night: Lopes vs. Silva,Rodrigo Sezinando vs. Daniil Donchenko,,unresolved_event_identity,
ufc_fight_details,http://ufcstats.com/fight-details/3f5f6c576046bf77,UFC 216: Ferguson vs. Lee,John Moraga vs. Bibulatov Magomed,,unresolved_or_ambiguous_participant_identity,a_candidates=1;b_candidates=0
