source_event_url,source_match_nr,source_organisation,source_event_title,fighter1_name,fighter2_name,reason,details
/events/BFC-Bellator-Fighting-Championships-1-9708,1,Bellator MMA,BFC - Bellator Fighting Championships 1,Gary Padilla,Daniel Sarafian,unresolved_trusted_fighter_identity,fighter1_trusted=False;fighter2_trusted=True
/events/BFC-Bellator-Fighting-Championships-1-9708,10,Bellator MMA,BFC - Bellator Fighting Championships 1,Eddie Alvarez,Greg Loughran,unresolved_trusted_fighter_identity,fighter1_trusted=True;fighter2_trusted=False
/events/BFC-Bellator-Fighting-Championships-1-9708,2,Bellator MMA,BFC - Bellator Fighting Championships 1,Moyses Gabin,Chris Decaro,unresolved_trusted_fighter_identity,fighter1_trusted=False;fighter2_trusted=False
/events/BFC-Bellator-Fighting-Championships-1-9708,3,Bellator MMA,BFC - Bellator Fighting Championships 1,James Brasco,Kevin Abrante,unresolved_trusted_fighter_identity,fighter1_trusted=False;fighter2_trusted=False
/events/BFC-Bellator-Fighting-Championships-1-9708,4,Bellator MMA,BFC - Bellator Fighting Championships 1,Lorenzo Borgomeo,Daniel Morales,unresolved_trusted_fighter_identity,fighter1_trusted=False;fighter2_trusted=False
/events/BFC-Bellator-Fighting-Championships-1-9708,6,Bellator MMA,BFC - Bellator Fighting Championships 1,Toby Imada,Alonzo Martinez,unresolved_trusted_fighter_identity,fighter1_trusted=False;fighter2_trusted=True
/events/BFC-Bellator-Fighting-Championships-1-9708,7,Bellator MMA,BFC - Bellator Fighting Championships 1,Joe Soto,Ben Greer,unresolved_trusted_fighter_identity,fighter1_trusted=True;fighter2_trusted=False
/events/BFC-Bellator-Fighting-Championships-1-9708,8,Bellator MMA,BFC - Bellator Fighting Championships 1,Estevan Payan,Luis Palomino,unresolved_trusted_fighter_identity,fighter1_trusted=False;fighter2_trusted=False
/events/BFC-Bellator-Fighting-Championships-1-9708,9,Bellator MMA,BFC - Bellator Fighting Championships 1,Yahir Reyes,Nick Gonzalez,unresolved_trusted_fighter_identity,fighter1_trusted=False;fighter2_trusted=True
/events/BFC-Bellator-Fighting-Championships-10-10243,1,Bellator MMA,BFC - Bellator Fighting Championships 10,Nick Moghaddam,Lamar Jiles,unresolved_trusted_fighter_identity,fighter1_trusted=False;fighter2_trusted=False
/events/BFC-Bellator-Fighting-Championships-10-10243,2,Bellator MMA,BFC - Bellator Fighting Championships 10,Jesse Juarez,Mikey Gomez,unresolved_trusted_fighter_identity,fighter1_trusted=True;fighter2_trusted=False
/events/BFC-Bellator-Fighting-Championships-10-10243,3,Bellator MMA,BFC - Bellator Fighting Championships 10,Travis Browne,Mychal Clark,unresolved_trusted_fighter_identity,fighter1_trusted=True;fighter2_trusted=False
/events/BFC-Bellator-Fighting-Championships-10-10243,4,Bellator MMA,BFC - Bellator Fighting Championships 10,Israel Giron,Phillip Brown,unresolved_trusted_fighter_identity,fighter1_trusted=True;fighter2_trusted=False
/events/BFC-Bellator-Fighting-Championships-10-10243,5,Bellator MMA,BFC - Bellator Fighting Championships 10,Diego Garijo,Saad Awad,unresolved_trusted_fighter_identity,fighter1_trusted=False;fighter2_trusted=True
/events/BFC-Bellator-Fighting-Championships-10-10243,6,Bellator MMA,BFC - Bellator Fighting Championships 10,Bryan Baker,Matt Horwich,unresolved_trusted_fighter_identity,fighter1_trusted=True;fighter2_trusted=False
/events/BFC-Bellator-Fighting-Championships-10-10243,7,Bellator MMA,BFC - Bellator Fighting Championships 10,Wilson Reis,Roberto Vargas,unresolved_trusted_fighter_identity,fighter1_trusted=True;fighter2_trusted=False
/events/BFC-Bellator-Fighting-Championships-10-10243,8,Bellator MMA,BFC - Bellator Fighting Championships 10,Joe Soto,Yahir Reyes,unresolved_trusted_fighter_identity,fighter1_trusted=True;fighter2_trusted=False
/events/BFC-Bellator-Fighting-Championships-11-10245,1,Bellator MMA,BFC - Bellator Fighting Championships 11,David Branch,Dennis Olson,unresolved_trusted_fighter_identity,fighter1_trusted=True;fighter2_trusted=False
/events/BFC-Bellator-Fighting-Championships-11-10245,2,Bellator MMA,BFC - Bellator Fighting Championships 11,Jimmie Rivera,Nick Garcia,unresolved_trusted_fighter_identity,fighter1_trusted=True;fighter2_trusted=False
/events/BFC-Bellator-Fighting-Championships-11-10245,3,Bellator MMA,BFC - Bellator Fighting Championships 11,Uriah Hall,Edwin Aguilar,unresolved_trusted_fighter_identity,fighter1_trusted=True;fighter2_trusted=False
/events/BFC-Bellator-Fighting-Championships-11-10245,4,Bellator MMA,BFC - Bellator Fighting Championships 11,Nick Pace,Collin Tebo,unresolved_trusted_fighter_identity,fighter1_trusted=True;fighter2_trusted=False
/events/BFC-Bellator-Fighting-Championships-11-10245,6,Bellator MMA,BFC - Bellator Fighting Championships 11,Justin Torrey,Matt Makowski,unresolved_trusted_fighter_identity,fighter1_trusted=False;fighter2_trusted=False
/events/BFC-Bellator-Fighting-Championships-11-10245,7,Bellator MMA,BFC - Bellator Fighting Championships 11,Jake Ellenberger,Marcelo Alfaya,unresolved_trusted_fighter_identity,fighter1_trusted=True;fighter2_trusted=False
/events/BFC-Bellator-Fighting-Championships-11-10245,8,Bellator MMA,BFC - Bellator Fighting Championships 11,Lyman Good,Omar de la Cruz,unresolved_trusted_fighter_identity,fighter1_trusted=True;fighter2_trusted=False
/events/BFC-Bellator-Fighting-Championships-12-10246,1,Bellator MMA,BFC - Bellator Fighting Championships 12,Stefanie Guimaraes,Yvonne Reis,unresolved_trusted_fighter_identity,fighter1_trusted=False;fighter2_trusted=False
/events/BFC-Bellator-Fighting-Championships-12-10246,2,Bellator MMA,BFC - Bellator Fighting Championships 12,Luis Palomino,Troy Gerhart,unresolved_trusted_fighter_identity,fighter1_trusted=False;fighter2_trusted=False
/events/BFC-Bellator-Fighting-Championships-12-10246,3,Bellator MMA,BFC - Bellator Fighting Championships 12,Rosi Sexton,Valerie Coolbaugh,unresolved_trusted_fighter_identity,fighter1_trusted=True;fighter2_trusted=False
/events/BFC-Bellator-Fighting-Championships-12-10246,4,Bellator MMA,BFC - Bellator Fighting Championships 12,Sergio Moraes,Josh Martin,unresolved_trusted_fighter_identity,fighter1_trusted=True;fighter2_trusted=False
/events/BFC-Bellator-Fighting-Championships-12-10246,5,Bellator MMA,BFC - Bellator Fighting Championships 12,Jorge Masvidal,Eric Reynolds,unresolved_trusted_fighter_identity,fighter1_trusted=True;fighter2_trusted=False
/events/BFC-Bellator-Fighting-Championships-12-10246,6,Bellator MMA,BFC - Bellator Fighting Championships 12,Fabio Mello,Sami Aziz,unresolved_trusted_fighter_identity,fighter1_trusted=False;fighter2_trusted=False
/events/BFC-Bellator-Fighting-Championships-12-10246,7,Bellator MMA,BFC - Bellator Fighting Championships 12,Hector Lombard,Jared Hess,unresolved_trusted_fighter_identity,fighter1_trusted=True;fighter2_trusted=False
/events/BFC-Bellator-Fighting-Championships-12-10246,8,Bellator MMA,BFC - Bellator Fighting Championships 12,Eddie Alvarez,Toby Imada,unresolved_trusted_fighter_identity,fighter1_trusted=True;fighter2_trusted=False
/events/BFC-Bellator-Fighting-Championships-13-11659,1,Bellator MMA,BFC - Bellator Fighting Championships 13,Chris Manuel,Ralph Acosta,unresolved_trusted_fighter_identity,fighter1_trusted=True;fighter2_trusted=False
