fightmetric_id,raw_color,round,resource_id,drupal_internal_id,reason,field,raw_value,details
10137,0,1,b6315ffb-40b7-448b-8b4a-16cad407fd37,54007,missing_canonical_fight_identity,,,
10137,0,2,6824456b-f714-4604-ad3c-fd004cc9635c,54008,missing_canonical_fight_identity,,,
10137,0,3,84342661-7a23-47db-93ce-54d075031d55,54009,missing_canonical_fight_identity,,,
10137,1,1,0413a93f-bf4c-4fcc-b9b1-6d70436247dd,54010,missing_canonical_fight_identity,,,
10137,1,2,8011fe82-b4c9-4baa-aa53-5ccdc07bf4f7,54011,missing_canonical_fight_identity,,,
10137,1,3,e8853b89-27e0-46c4-8533-a284fd03fdb0,54012,missing_canonical_fight_identity,,,
10211,0,1,72b70f91-b728-44be-8e85-5f6376f11cbe,54709,missing_canonical_fight_identity,,,
10211,0,2,c2337bf3-7270-4e53-b88c-c2aa34239d43,54710,missing_canonical_fight_identity,,,
10211,0,3,4b4676ac-44bb-4d6f-a308-b77f7cf5174c,54711,missing_canonical_fight_identity,,,
10211,0,4,ff8176ca-80b4-430a-8d2a-616ed76e57c1,54712,missing_canonical_fight_identity,,,
10211,0,5,023c6129-af51-4442-bcc0-fba6c824d9a4,54713,missing_canonical_fight_identity,,,
10211,1,1,3bdc6e2d-fd48-4490-be57-81331d882a1c,54714,missing_canonical_fight_identity,,,
10211,1,2,daf9ad33-f0e3-48a1-bcfa-7dfe31d4a863,54715,missing_canonical_fight_identity,,,
10211,1,3,12c5f9da-4b2e-46d5-a652-898682301478,54716,missing_canonical_fight_identity,,,
10211,1,4,99baf791-a0d0-4da6-bdb6-10c6b3d6dbf8,54717,missing_canonical_fight_identity,,,
10211,1,5,dd3f3af9-d1e7-41f2-88fa-d8584b0e565b,54718,missing_canonical_fight_identity,,,
10364,0,1,48a72ae9-5e8d-4355-adcc-e9b67cb495c8,55635,missing_canonical_fight_identity,,,
10364,0,2,10221529-1446-4b73-94ff-14ae067457c7,55636,missing_canonical_fight_identity,,,
10364,1,1,c234444e-f67e-493d-846f-2c70a2f70950,55637,missing_canonical_fight_identity,,,
10364,1,2,a22c56a1-88d0-44a4-99a0-dfc25e9ab43c,55638,missing_canonical_fight_identity,,,
10464,0,1,3b1a53d5-08fa-46bf-a57a-942972f2e6b0,56125,missing_canonical_fight_identity,,,
10464,1,1,3b24af46-0e28-4de2-a03b-287e0295cc90,56126,missing_canonical_fight_identity,,,
10545,0,1,48410783-10b1-4c5b-b4cc-098c2cb48442,56211,missing_canonical_fight_identity,,,
10545,0,2,53b5f872-7d70-483b-bbb4-3335d6856c3a,56212,missing_canonical_fight_identity,,,
10545,1,1,319995df-942a-4924-911e-140b4e74801a,56213,missing_canonical_fight_identity,,,
10545,1,2,39f0eabe-2b94-4d5e-944c-84b0419f204c,56214,missing_canonical_fight_identity,,,
10553,0,1,9a8b4fd2-3a3a-447e-93b9-a3788cadc594,56950,missing_canonical_fight_identity,,,
10553,1,1,62c2a893-c2de-49c2-b398-9b0de1393195,56951,missing_canonical_fight_identity,,,
10569,0,1,3102c45d-aea7-4b8d-a95f-b60c4b46fbba,56577,missing_canonical_fight_identity,,,
10569,0,2,9dd48752-f6ec-4ad3-9a5e-f708ad3d5406,56578,missing_canonical_fight_identity,,,
10569,0,3,540ef06b-9ffd-451f-a8e1-50fe51ffa6b0,56579,missing_canonical_fight_identity,,,
10569,1,1,9e3cdff3-f812-4c5f-b6dc-d89055dec600,56580,missing_canonical_fight_identity,,,
10569,1,2,e7fd7d26-6114-4e2b-a77e-742e834a714f,56581,missing_canonical_fight_identity,,,
10569,1,3,1e32a171-1d15-4c2d-b437-b891478be47f,56582,missing_canonical_fight_identity,,,
10591,0,1,68424035-ac8b-4c24-9df5-d896eb96b252,57456,missing_canonical_fight_identity,,,
10591,0,2,d643c785-a067-408e-8e0d-5bf062f4ce64,57457,missing_canonical_fight_identity,,,
10591,0,3,947dc5db-96ca-4d6a-bbc1-c75c40cfcde8,57458,missing_canonical_fight_identity,,,
10591,1,1,fde60073-f18c-4be8-9b95-5722a0f17983,57459,missing_canonical_fight_identity,,,
10591,1,2,075ec43d-a3b6-4ea8-b51f-ba887992f362,57460,missing_canonical_fight_identity,,,
10591,1,3,83236a7f-3a80-4714-87bf-0acc3883c143,57461,missing_canonical_fight_identity,,,
109,0,1,e48cea04-e87d-43d8-9c52-0af8db0e20ee,33801,missing_canonical_fight_identity,,,
109,1,1,d864fb5e-9eb9-468e-b952-526f2b282d2e,33802,missing_canonical_fight_identity,,,
10951,0,1,b2b8ecf2-5559-4cc2-a7fb-78d36a392da5,58437,missing_canonical_fight_identity,,,
10951,0,2,0c5f08e2-46f2-448f-8d7b-b554acb9468d,58438,missing_canonical_fight_identity,,,
10951,0,3,e5d57b6b-8de1-4004-af75-6624f1aff0a3,58439,missing_canonical_fight_identity,,,
10951,1,1,78345d61-56ce-441e-a94f-97af97886212,58440,missing_canonical_fight_identity,,,
10951,1,2,a57f50af-6e15-4526-9174-a22bc5fdca82,58441,missing_canonical_fight_identity,,,
10951,1,3,a3c92c24-f485-4ad3-9046-5d45968120ef,58442,missing_canonical_fight_identity,,,
