source_row_number,date,weightclass,fighter,rank,reason,details
25,2013-02-04,Bantamweight,Michael McDonald,2,ambiguous_exact_canonical_name,canonical_candidate_count=2
73,2013-02-04,Middleweight,Costas Philippou,6,unmatched_exact_canonical_name,canonical_candidate_count=0
83,2013-02-04,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
123,2013-02-11,Bantamweight,Michael McDonald,2,ambiguous_exact_canonical_name,canonical_candidate_count=2
171,2013-02-11,Middleweight,Costas Philippou,6,unmatched_exact_canonical_name,canonical_candidate_count=0
181,2013-02-11,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
222,2013-02-18,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
268,2013-02-18,Middleweight,Costas Philippou,5,unmatched_exact_canonical_name,canonical_candidate_count=0
279,2013-02-18,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
320,2013-02-25,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
366,2013-02-25,Middleweight,Costas Philippou,5,unmatched_exact_canonical_name,canonical_candidate_count=0
371,2013-02-25,Middleweight,Ronaldo Souza,10,unmatched_exact_canonical_name,canonical_candidate_count=0
377,2013-02-25,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
418,2013-03-04,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
465,2013-03-04,Middleweight,Costas Philippou,6,unmatched_exact_canonical_name,canonical_candidate_count=0
467,2013-03-04,Middleweight,Ronaldo Souza,8,unmatched_exact_canonical_name,canonical_candidate_count=0
475,2013-03-04,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
526,2013-03-18,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
572,2013-03-18,Middleweight,Costas Philippou,5,unmatched_exact_canonical_name,canonical_candidate_count=0
576,2013-03-18,Middleweight,Ronaldo Souza,9,unmatched_exact_canonical_name,canonical_candidate_count=0
583,2013-03-18,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
635,2013-04-08,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
682,2013-04-08,Middleweight,Costas Philippou,6,unmatched_exact_canonical_name,canonical_candidate_count=0
684,2013-04-08,Middleweight,Ronaldo Souza,8,unmatched_exact_canonical_name,canonical_candidate_count=0
692,2013-04-08,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
744,2013-04-15,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
791,2013-04-15,Middleweight,Costas Philippou,6,unmatched_exact_canonical_name,canonical_candidate_count=0
793,2013-04-15,Middleweight,Ronaldo Souza,8,unmatched_exact_canonical_name,canonical_candidate_count=0
801,2013-04-15,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
854,2013-04-22,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
901,2013-04-22,Middleweight,Costas Philippou,6,unmatched_exact_canonical_name,canonical_candidate_count=0
903,2013-04-22,Middleweight,Ronaldo Souza,8,unmatched_exact_canonical_name,canonical_candidate_count=0
911,2013-04-22,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
963,2013-04-29,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
1010,2013-04-29,Middleweight,Costas Philippou,6,unmatched_exact_canonical_name,canonical_candidate_count=0
1012,2013-04-29,Middleweight,Ronaldo Souza,8,unmatched_exact_canonical_name,canonical_candidate_count=0
1020,2013-04-29,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
1072,2013-05-21,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
1118,2013-05-21,Middleweight,Costas Philippou,5,unmatched_exact_canonical_name,canonical_candidate_count=0
1119,2013-05-21,Middleweight,Ronaldo Souza,6,unmatched_exact_canonical_name,canonical_candidate_count=0
1129,2013-05-21,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
1181,2013-05-28,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
1227,2013-05-28,Middleweight,Ronaldo Souza,5,unmatched_exact_canonical_name,canonical_candidate_count=0
1228,2013-05-28,Middleweight,Costas Philippou,6,unmatched_exact_canonical_name,canonical_candidate_count=0
1238,2013-05-28,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
1290,2013-06-10,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
1336,2013-06-10,Middleweight,Ronaldo Souza,5,unmatched_exact_canonical_name,canonical_candidate_count=0
1337,2013-06-10,Middleweight,Costas Philippou,6,unmatched_exact_canonical_name,canonical_candidate_count=0
1347,2013-06-10,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
1399,2013-06-18,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
1445,2013-06-18,Middleweight,Ronaldo Souza,5,unmatched_exact_canonical_name,canonical_candidate_count=0
1446,2013-06-18,Middleweight,Costas Philippou,6,unmatched_exact_canonical_name,canonical_candidate_count=0
