fightmetric_id,corner,round,resource_id,drupal_internal_id,compared_fields,exact_fields,absolute_error_sum
1772,red,1,96dc8c3a-dd48-40b0-bb51-82131a29ca49,28680,15,15,0
1772,red,1,3c88d96c-9ae3-4094-b87f-1fa9c913548a,44462,15,15,0
1573,red,1,c2f1b5e1-42ae-46e0-b68a-88542728bc61,29358,15,15,0
1573,red,1,15e76924-ee64-47cc-8911-efa92f92761c,68535,18,18,0
1573,red,2,4963c1e7-6d9f-416d-af59-46d046be9d10,29359,15,15,0
1573,red,2,082cef6e-e6ed-4631-b8c9-dc2594966ab9,68536,18,18,0
312,red,1,e12b9663-2686-4f42-acd5-19f31a45134a,32501,15,15,0
312,red,1,24df7c5f-2e5c-493e-b218-cb4e69a9c470,65797,18,18,0
312,red,2,a0bfb0d3-7f75-4160-b09e-f25484c10a4f,32502,15,15,0
312,red,2,3eb5a5c8-d4fd-4a7f-a20f-6d9288c0465c,65798,18,18,0
312,red,3,ff8ba40c-4a05-40af-a484-d08ad74dbb72,32503,15,15,0
312,red,3,e87d90a7-d902-4326-bdcb-4171cefdf7a3,65799,18,18,0
312,red,4,6b80dab7-c842-4c39-9f45-75a03d15b0d6,32504,15,15,0
312,red,4,e7e97318-2c4c-47e9-a6ec-847f2cbb50e6,65800,18,18,0
312,red,5,42afb64f-2fa5-4b10-88ab-b0dee44109b8,32505,15,15,0
312,red,5,e7e08a7c-ff29-41e4-a191-1d3c38590308,65801,18,18,0
2296,red,1,005973b2-73e9-4c20-bac0-8d15835e1f48,35373,15,15,0
2296,red,1,4a4044bb-fee6-4c31-b353-306ff26e9902,67924,18,18,0
2296,red,2,8ffdeaaf-3502-4a02-9972-2067e325fe79,35374,15,15,0
2296,red,2,9818066d-98d7-4bb7-b5eb-8d66aaa1507f,67925,18,18,0
2962,red,1,a0042341-10f8-426c-8214-666571251a45,36891,15,15,0
2962,red,1,1c562415-6288-475a-ae82-38b4ebe5a228,56631,18,18,0
2962,red,2,d18c8e23-7638-4fb5-9f2b-37f2d5645eb7,36892,15,15,0
2962,red,2,6fda0cd4-d9ba-4e6e-b1b0-3ca13bef6fbf,56632,18,18,0
2962,red,3,2baea8e2-dc29-42c0-8379-99a40644bad7,36893,15,15,0
2962,red,3,f389effc-d2ef-487d-a852-23c8573bc8ce,56633,18,18,0
3181,red,1,61a0b261-21b5-4bf6-87b8-1c25badbfab8,37161,15,15,0
3181,red,1,21d4e605-018d-4f8a-a98c-87002e6b9995,56639,18,18,0
3469,red,1,915e6c36-28bd-4c55-a881-62e227267187,38041,15,15,0
3469,red,1,a06bd694-b26b-4040-9d43-848d6709061b,56643,18,18,0
3469,red,2,2e01d071-3de4-4ae7-a43f-7483280074cd,38042,15,15,0
3469,red,2,d1aa90e9-31ad-4550-a42e-88105c9a91a8,56644,18,18,0
3525,red,1,9c339a5a-c699-44de-8786-b77c895f04d5,38457,15,15,0
3525,red,1,3014f2e2-32df-4bee-a337-aed3aa34b57a,56649,18,18,0
3625,red,1,938c2b54-d880-4fa3-845f-d7b38eb84aa5,38757,15,15,0
3625,red,1,ecd1e7be-973a-487a-8481-730551f3464f,53250,18,18,0
3684,red,1,525b3bc9-9b30-4a5b-89f3-34a06294e27c,38895,15,15,0
3684,red,1,50730410-595e-4d01-8fe7-d6e7511f68d2,53210,18,18,0
3684,red,2,7e495b74-2de7-4443-b606-3f9e6249e54b,38896,15,15,0
3684,red,2,51a9245d-d609-4571-8d09-f0f836f4687c,53211,18,18,0
3684,red,3,e44fd4fb-b09e-4d89-b30c-22da8aa4d86f,38897,15,15,0
3684,red,3,cd8b8396-9aad-4de0-b597-cb529234140b,53212,18,18,0
3698,red,1,644cbb01-3a3a-48f9-b297-42d6f5803680,39070,15,15,0
3698,red,1,34fcd4e1-0581-4cab-bcaa-ba76a99d3360,53218,18,18,0
3698,red,2,2f288dfc-17ce-4ab1-bf8b-d89258e4e590,39071,15,15,0
3698,red,2,46b9ea82-7de5-47aa-9752-55fd8f0ad5e0,53219,18,18,0
3698,red,3,75a3b14a-b2bd-4def-848a-c51919c2c20c,39072,15,15,0
3698,red,3,c00b27b2-32a3-41fc-b949-8e198b614217,53220,18,18,0
3755,red,1,70eada87-3731-4f65-bd7c-dc26504ba325,39280,15,15,0
3755,red,1,cc5c9436-7981-4d85-8b2d-05891c6708c6,60469,18,18,0
3755,red,2,d3bb7337-f7a6-42b6-ab57-d690578c5ad6,39281,15,15,0
3755,red,2,ec1994ed-7964-4d8d-9640-d034d1271e22,60470,18,18,0
3795,red,1,f48c3e0b-9997-4659-8f8d-25f719450599,39438,15,15,0
3795,red,1,98aefd0d-86ed-4e0c-8d28-d0b596e590a9,56653,18,18,0
3810,red,1,5e066f84-43fd-45f7-8b77-d735af81ad80,39510,15,15,0
3810,red,1,aef25b90-9a3a-4365-8a4a-342dbead83f5,60475,18,18,0
3810,red,2,20bd350a-66c3-460a-9b92-4b41b4c2dfcf,39511,15,15,0
3810,red,2,a5d43ccc-aa1e-4c19-97e2-ce7e53537840,60476,18,18,0
