archive_key,fight_id,event_date,judge_band_y,whole_line_candidate,judge_block,psm7_text,psm11_text,agreement_ratio,candidate_judge_name,block_status
1026775bbe489e7050fa4312.jpg,3e507082-4f24-54a2-b000-64cbc6cf7f14,2020-09-19,0.6268,JUNICHIRO KAMIJO DAVE HAGEN ‘SAL D'AMATO,1,JUNICHIRO KAMIJO,JUNICHIRO KAMIJO,1.0,JUNICHIRO KAMIJO,dual_ocr_consensus
1026775bbe489e7050fa4312.jpg,3e507082-4f24-54a2-b000-64cbc6cf7f14,2020-09-19,0.6268,JUNICHIRO KAMIJO DAVE HAGEN ‘SAL D'AMATO,2,DAVE HAGEN,DAVE HAGEN,1.0,DAVE HAGEN,dual_ocr_consensus
1026775bbe489e7050fa4312.jpg,3e507082-4f24-54a2-b000-64cbc6cf7f14,2020-09-19,0.6268,JUNICHIRO KAMIJO DAVE HAGEN ‘SAL D'AMATO,3,SAL 'AMATO,SAL 'AMATO,1.0,SAL AMATO,dual_ocr_consensus
13e2e75c0bf52ea10abedd20.jpg,27d9ad46-0045-501c-92cb-decdceac2328,2020-12-05,0.7144,DEREK CLEARY ‘SAL D'AMATO JUNICHIRO KAMIJO.,1,DEREK CLEARY,DEREK CLEARY,1.0,DEREK CLEARY,dual_ocr_consensus
13e2e75c0bf52ea10abedd20.jpg,27d9ad46-0045-501c-92cb-decdceac2328,2020-12-05,0.7144,DEREK CLEARY ‘SAL D'AMATO JUNICHIRO KAMIJO.,2,SAL D'AMATO,SAL D'AMATO,1.0,SAL D'AMATO,dual_ocr_consensus
13e2e75c0bf52ea10abedd20.jpg,27d9ad46-0045-501c-92cb-decdceac2328,2020-12-05,0.7144,DEREK CLEARY ‘SAL D'AMATO JUNICHIRO KAMIJO.,3,JUNICHIRO KAMIJO,JUNICHIRO KAMIJO,1.0,JUNICHIRO KAMIJO,dual_ocr_consensus
18838c0941537e45b0418131.jpeg,0c0e9975-532f-5b6c-8c9f-0020149a98c3,2023-11-04,0.6259,ALESSANDRO VIEIRA ‘SAL D'AMATO HALLISON PONTES,1,ALESSANDRO VIEIRA,ALESSANDRO VIEIRA,1.0,ALESSANDRO VIEIRA,dual_ocr_consensus
18838c0941537e45b0418131.jpeg,0c0e9975-532f-5b6c-8c9f-0020149a98c3,2023-11-04,0.6259,ALESSANDRO VIEIRA ‘SAL D'AMATO HALLISON PONTES,2,SAL D'AMATO,SAL D'AMATO,1.0,SAL D'AMATO,dual_ocr_consensus
18838c0941537e45b0418131.jpeg,0c0e9975-532f-5b6c-8c9f-0020149a98c3,2023-11-04,0.6259,ALESSANDRO VIEIRA ‘SAL D'AMATO HALLISON PONTES,3,HALLISON PONTES,HALLISON PONTES,1.0,HALLISON PONTES,dual_ocr_consensus
1e3811380574d61624efbf81.jpg,dedf4087-58a0-50e5-8665-9f53814e4408,2022-11-19,0.6268,‘SAL D'AMATO JUNICHIRO KAMIO ANTHONY MANESS,1,SAL D'AMATO,SAL D'AMATO,1.0,SAL D'AMATO,dual_ocr_consensus
