archive_key,fight_id,event_date,judge_block,psm7_text,psm11_text,scorecard_candidate,espn_judge_name,espn_official_ids,similarity_psm7,similarity_psm11,runner_up_similarity,margin,identity_status
1026775bbe489e7050fa4312.jpg,3e507082-4f24-54a2-b000-64cbc6cf7f14,2020-09-19,1,JUNICHIRO KAMIJO,JUNICHIRO KAMIJO,JUNICHIRO KAMIJO,Junichiro Kamijo,2594008,1.0,1.0,0.51613,0.48387,reconciled_unique_espn_judge
1026775bbe489e7050fa4312.jpg,3e507082-4f24-54a2-b000-64cbc6cf7f14,2020-09-19,2,DAVE HAGEN,DAVE HAGEN,DAVE HAGEN,Dave Hagen,2593954,1.0,1.0,0.66667,0.33333,reconciled_unique_espn_judge
1026775bbe489e7050fa4312.jpg,3e507082-4f24-54a2-b000-64cbc6cf7f14,2020-09-19,3,SAL 'AMATO,SAL 'AMATO,SAL AMATO,Sal D'amato,2593952,0.9,0.9,0.75,0.15,reconciled_unique_espn_judge
13e2e75c0bf52ea10abedd20.jpg,27d9ad46-0045-501c-92cb-decdceac2328,2020-12-05,1,DEREK CLEARY,DEREK CLEARY,DEREK CLEARY,Derek Cleary,2956768,1.0,1.0,0.64,0.36,reconciled_unique_espn_judge
13e2e75c0bf52ea10abedd20.jpg,27d9ad46-0045-501c-92cb-decdceac2328,2020-12-05,2,SAL D'AMATO,SAL D'AMATO,SAL D'AMATO,Sal D'amato,2593952,1.0,1.0,0.66667,0.33333,reconciled_unique_espn_judge
13e2e75c0bf52ea10abedd20.jpg,27d9ad46-0045-501c-92cb-decdceac2328,2020-12-05,3,JUNICHIRO KAMIJO,JUNICHIRO KAMIJO,JUNICHIRO KAMIJO,Junichiro Kamijo,2594008,1.0,1.0,0.51613,0.48387,reconciled_unique_espn_judge
18838c0941537e45b0418131.jpeg,0c0e9975-532f-5b6c-8c9f-0020149a98c3,2023-11-04,1,ALESSANDRO VIEIRA,ALESSANDRO VIEIRA,ALESSANDRO VIEIRA,Alessandro Vieira,3950348,1.0,1.0,0.60606,0.39394,reconciled_unique_espn_judge
18838c0941537e45b0418131.jpeg,0c0e9975-532f-5b6c-8c9f-0020149a98c3,2023-11-04,2,SAL D'AMATO,SAL D'AMATO,SAL D'AMATO,Sal D'amato,2593952,1.0,1.0,0.66667,0.33333,reconciled_unique_espn_judge
18838c0941537e45b0418131.jpeg,0c0e9975-532f-5b6c-8c9f-0020149a98c3,2023-11-04,3,HALLISON PONTES,HALLISON PONTES,HALLISON PONTES,Hallison Pontes,3163975,1.0,1.0,0.57143,0.42857,reconciled_unique_espn_judge
1e3811380574d61624efbf81.jpg,dedf4087-58a0-50e5-8665-9f53814e4408,2022-11-19,1,SAL D'AMATO,SAL D'AMATO,SAL D'AMATO,Sal D'amato,2593952,1.0,1.0,0.66667,0.33333,reconciled_unique_espn_judge
1e3811380574d61624efbf81.jpg,dedf4087-58a0-50e5-8665-9f53814e4408,2022-11-19,2,JUNICHIRG KAMIJO,JUNICHIRG KAMIJO,JUNICHIRG KAMIJO,Junichiro Kamijo,2594008,0.9375,0.9375,0.48276,0.45474,reconciled_unique_espn_judge
1e3811380574d61624efbf81.jpg,dedf4087-58a0-50e5-8665-9f53814e4408,2022-11-19,3,ANTHONY MANESS,ANTHONY MANESS,ANTHONY MANESS,Anthony Manes,2594028,0.96296,0.96296,0.78571,0.17725,reconciled_unique_espn_judge
25a5ba9622b44c65201eddd3.jpg,fc78fad0-38f4-550b-81db-3317be63de63,2021-05-01,1,MIKE BELL,MIKE BELL,MIKE BELL,,,0.7619,0.7619,0.7619,0.0,fuzzy_identity_not_strict_enough
25a5ba9622b44c65201eddd3.jpg,fc78fad0-38f4-550b-81db-3317be63de63,2021-05-01,2,ERIC COLON,ERIC COLON,ERIC COLON,Eric Colon,2593970,1.0,1.0,0.66667,0.33333,reconciled_unique_espn_judge
25a5ba9622b44c65201eddd3.jpg,fc78fad0-38f4-550b-81db-3317be63de63,2021-05-01,3,SAL D'AMATO,SAL D'AMATO,SAL D'AMATO,Sal D'amato,2593952,1.0,1.0,0.66667,0.33333,reconciled_unique_espn_judge
29068699e683cf1f5aea0f00.jpg,60933b47-b68c-55f3-9573-73db7f9a146a,2021-06-26,1,RON MCCARTHY,RON MCCARTHY,RON MCCARTHY,Ron McCarthy,4021253,1.0,1.0,0.6087,0.3913,reconciled_unique_espn_judge
29068699e683cf1f5aea0f00.jpg,60933b47-b68c-55f3-9573-73db7f9a146a,2021-06-26,2,RICK WINTER,RICK WINTER,RICK WINTER,,,0.76923,0.76923,0.63636,0.13287,fuzzy_identity_not_strict_enough
29068699e683cf1f5aea0f00.jpg,60933b47-b68c-55f3-9573-73db7f9a146a,2021-06-26,3,MIKE BELL,MIKE BELL,MIKE BELL,,,0.7619,0.7619,0.7619,0.0,fuzzy_identity_not_strict_enough
2c01cf1021e3b14e7e8f996f.jpg,466b5bcb-36aa-591e-8c5f-cd2f09662bba,2022-01-22,1,RON MCCARTHY,RON MCCARTHY,RON MCCARTHY,Ron McCarthy,4021253,1.0,1.0,0.6087,0.3913,reconciled_unique_espn_judge
2c01cf1021e3b14e7e8f996f.jpg,466b5bcb-36aa-591e-8c5f-cd2f09662bba,2022-01-22,2,SAL D'AMATO,SALD'AMATO,,,,0.0,0.0,0.0,0.0,upstream_not_dual_consensus
2c01cf1021e3b14e7e8f996f.jpg,466b5bcb-36aa-591e-8c5f-cd2f09662bba,2022-01-22,3,DEREK CLEARY,DEREK CLEARY,DEREK CLEARY,Derek Cleary,2956768,1.0,1.0,0.64,0.36,reconciled_unique_espn_judge
2cfa5ce47177b9e8f94b12f9.png,aee57144-60b9-5882-92cc-c03e446eaf92,2024-12-14,1,ERICCOLON,ERIC COLON,,,,0.0,0.0,0.0,0.0,upstream_not_dual_consensus
2cfa5ce47177b9e8f94b12f9.png,aee57144-60b9-5882-92cc-c03e446eaf92,2024-12-14,2,TROY WINCAPAW,TROY WINCAPAW,TROY WINCAPAW,Troy Wincapaw,3077197,1.0,1.0,0.53846,0.46154,reconciled_unique_espn_judge
2cfa5ce47177b9e8f94b12f9.png,aee57144-60b9-5882-92cc-c03e446eaf92,2024-12-14,3,,CHRIS LEE,,,,0.0,0.0,0.0,0.0,upstream_not_dual_consensus
2dd09ac29e38b7bf9913f290.png,c5d1dd7e-f8e1-5244-9b81-9d8b8749a4af,2024-08-24,1,ADALAIDE BYRD,ADALAIDE BYRD,ADALAIDE BYRD,Adalaide Byrd,2593946,1.0,1.0,0.58333,0.41667,reconciled_unique_espn_judge
2dd09ac29e38b7bf9913f290.png,c5d1dd7e-f8e1-5244-9b81-9d8b8749a4af,2024-08-24,2,ERIC COLON,ERIC COLON,ERIC COLON,Eric Colon,2593970,1.0,1.0,0.66667,0.33333,reconciled_unique_espn_judge
2dd09ac29e38b7bf9913f290.png,c5d1dd7e-f8e1-5244-9b81-9d8b8749a4af,2024-08-24,3,JUNICHIRO KAMIIO,JUNICHIRO KAMIJO,JUNICHIRO KAMIIO,Junichiro Kamijo,2594008,0.9375,1.0,0.51613,0.42137,reconciled_unique_espn_judge
2f8cb42409f980b4d8ff97ca.png,22807da9-ffc6-511c-bcbb-b21ed6b336f6,2025-02-01,1,BEN CARTLIDGE,BEN CARTLIDGE,BEN CARTLIDGE,Ben Cartlidge,3023938,1.0,1.0,0.61538,0.38462,reconciled_unique_espn_judge
2f8cb42409f980b4d8ff97ca.png,22807da9-ffc6-511c-bcbb-b21ed6b336f6,2025-02-01,2,,,,,,0.0,0.0,0.0,0.0,upstream_not_dual_consensus
2f8cb42409f980b4d8ff97ca.png,22807da9-ffc6-511c-bcbb-b21ed6b336f6,2025-02-01,3,,,,,,0.0,0.0,0.0,0.0,upstream_not_dual_consensus
49f3dba129524e0a51115ad8.jpg,ad8e5ac3-49dc-5721-b391-769a531ec42f,2023-06-10,1,SAL D'AMATO,SAL D'AMATO,SAL D'AMATO,Sal D'amato,2593952,1.0,1.0,0.66667,0.33333,reconciled_unique_espn_judge
49f3dba129524e0a51115ad8.jpg,ad8e5ac3-49dc-5721-b391-769a531ec42f,2023-06-10,2,JERIN VALEL,JERIN VALEL,JERIN VALEL,Jerin Valel,2594364,1.0,1.0,0.61538,0.38462,reconciled_unique_espn_judge
49f3dba129524e0a51115ad8.jpg,ad8e5ac3-49dc-5721-b391-769a531ec42f,2023-06-10,3,JAKE MAXIM,JAKE MAXIM,JAKE MAXIM,Jake Maxim,5146925,1.0,1.0,0.52632,0.47368,reconciled_unique_espn_judge
4ba4818507d086def6232e91.jpeg,c0aeea6e-2948-5340-8f96-25fd24019f14,2022-06-18,1,,,,,,0.0,0.0,0.0,0.0,upstream_not_dual_consensus
4ba4818507d086def6232e91.jpeg,c0aeea6e-2948-5340-8f96-25fd24019f14,2022-06-18,2,POUCCROSSY,DOUG CROSBY,,,,0.0,0.0,0.0,0.0,upstream_not_dual_consensus
4ba4818507d086def6232e91.jpeg,c0aeea6e-2948-5340-8f96-25fd24019f14,2022-06-18,3,JON SCHORLE,JON SCHORLE,JON SCHORLE,Jon Schorle,2593957,1.0,1.0,0.63636,0.36364,reconciled_unique_espn_judge
51f0aa9b277c04ebd208fde6.jpeg,cb8b5682-f69b-53f1-8716-fb8e88eb0b7f,2021-12-18,1,MIKE BELL,MIKE BELL,MIKE BELL,,,0.7619,0.7619,0.7619,0.0,fuzzy_identity_not_strict_enough
51f0aa9b277c04ebd208fde6.jpeg,cb8b5682-f69b-53f1-8716-fb8e88eb0b7f,2021-12-18,2,ADALAIDE E BYRD,ADALAIDE E BYRD,ADALAIDE E BYRD,Adalaide Byrd,2593946,0.92857,0.92857,0.61538,0.31319,reconciled_unique_espn_judge
51f0aa9b277c04ebd208fde6.jpeg,cb8b5682-f69b-53f1-8716-fb8e88eb0b7f,2021-12-18,3,JUNICHIRO KAMIJO,JUNICHIRO KAMIJO,JUNICHIRO KAMIJO,Junichiro Kamijo,2594008,1.0,1.0,0.51613,0.48387,reconciled_unique_espn_judge
5884ab5a5e8366c7a80093db.jpg,0a7b981a-a885-5166-9647-e1752da506ba,2023-03-04,1,ADALAIDE BYRD,ADALAIDE BYRD,ADALAIDE BYRD,Adalaide Byrd,2593946,1.0,1.0,0.58333,0.41667,reconciled_unique_espn_judge
5884ab5a5e8366c7a80093db.jpg,0a7b981a-a885-5166-9647-e1752da506ba,2023-03-04,2,BEN CARTLIDGE,BEN CARTLIDGE,BEN CARTLIDGE,Ben Cartlidge,3023938,1.0,1.0,0.61538,0.38462,reconciled_unique_espn_judge
5884ab5a5e8366c7a80093db.jpg,0a7b981a-a885-5166-9647-e1752da506ba,2023-03-04,3,DEREK CLEARY,DEREK CLEARY,DEREK CLEARY,Derek Cleary,2956768,1.0,1.0,0.64,0.36,reconciled_unique_espn_judge
59c4640966c37c1ac24fbd8a.png,2445f7d8-7ed3-54ac-a84e-6db58824ccff,2025-10-25,1,BEN CARTLIDGE,BEN CARTLIDGE,BEN CARTLIDGE,Ben Cartlidge,3023938,1.0,1.0,0.61538,0.38462,reconciled_unique_espn_judge
59c4640966c37c1ac24fbd8a.png,2445f7d8-7ed3-54ac-a84e-6db58824ccff,2025-10-25,2,TONY WEEKS,TONY WEEKS,TONY WEEKS,Tony Weeks,2593944,1.0,1.0,0.6087,0.3913,reconciled_unique_espn_judge
59c4640966c37c1ac24fbd8a.png,2445f7d8-7ed3-54ac-a84e-6db58824ccff,2025-10-25,3,CLEMENS WERNER,CLEMENS WERNER,CLEMENS WERNER,Clemens Werner,4053724,1.0,1.0,0.52174,0.47826,reconciled_unique_espn_judge
59db1e1e3a035e4f07d75960.jpg,fd9f7bae-3ea9-57f4-b939-3976c1223a25,2022-03-05,1,MIKE BELL,MIKE BELL,MIKE BELL,,,0.7619,0.7619,0.7619,0.0,fuzzy_identity_not_strict_enough
59db1e1e3a035e4f07d75960.jpg,fd9f7bae-3ea9-57f4-b939-3976c1223a25,2022-03-05,2,CHRIS LEE,CHRIS LEE,CHRIS LEE,Chris Lee,2593955,1.0,1.0,0.9,0.1,reconciled_unique_espn_judge
59db1e1e3a035e4f07d75960.jpg,fd9f7bae-3ea9-57f4-b939-3976c1223a25,2022-03-05,3,,,,,,0.0,0.0,0.0,0.0,upstream_not_dual_consensus
5e3480ff1fc0544c5c9fc452.png,a7f67273-4fc2-59a5-854b-015916c65462,2024-12-07,1,MIKEBELL,MIKE BELL,,,,0.0,0.0,0.0,0.0,upstream_not_dual_consensus
5e3480ff1fc0544c5c9fc452.png,a7f67273-4fc2-59a5-854b-015916c65462,2024-12-07,2,RON MCCARTHY,RON MCCARTHY,RON MCCARTHY,Ron McCarthy,4021253,1.0,1.0,0.6087,0.3913,reconciled_unique_espn_judge
