archive_key,fight_id,event_date,expected_scored_rounds,round_row,judge_block,fighter_column_in_block,column_index,x_center,y_center,ocr_text,parsed_points,contract_valid_0_10,typical_7_10
0dca621cdc8a4331a2e01ab9.png,bef1d631-3c97-5780-ae11-2835dc61e51c,2025-07-26,1,1,1,1,0,0.07353,0.4173,,,false,false
0dca621cdc8a4331a2e01ab9.png,bef1d631-3c97-5780-ae11-2835dc61e51c,2025-07-26,1,1,1,2,1,0.28736,0.4173,,,false,false
0dca621cdc8a4331a2e01ab9.png,bef1d631-3c97-5780-ae11-2835dc61e51c,2025-07-26,1,1,2,1,2,0.38939,0.4173,,,false,false
0dca621cdc8a4331a2e01ab9.png,bef1d631-3c97-5780-ae11-2835dc61e51c,2025-07-26,1,1,2,2,3,0.60608,0.4173,,,false,false
0dca621cdc8a4331a2e01ab9.png,bef1d631-3c97-5780-ae11-2835dc61e51c,2025-07-26,1,1,3,1,4,0.71367,0.4173,,,false,false
0dca621cdc8a4331a2e01ab9.png,bef1d631-3c97-5780-ae11-2835dc61e51c,2025-07-26,1,1,3,2,5,0.92582,0.4173,,,false,false
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,2023-09-02,"1,2,3",1,1,1,0,0.07353,0.4173,0,0,true,false
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,2023-09-02,"1,2,3",1,1,2,1,0.28736,0.4173,,,false,false
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,2023-09-02,"1,2,3",1,2,1,2,0.38939,0.4173,0,0,true,false
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,2023-09-02,"1,2,3",1,2,2,3,0.60608,0.4173,,,false,false
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,2023-09-02,"1,2,3",1,3,1,4,0.71367,0.4173,,,false,false
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,2023-09-02,"1,2,3",1,3,2,5,0.92582,0.4173,9,9,true,true
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,2023-09-02,"1,2,3",2,1,1,0,0.07353,0.4595,0,0,true,false
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,2023-09-02,"1,2,3",2,1,2,1,0.28736,0.4595,,,false,false
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,2023-09-02,"1,2,3",2,2,1,2,0.38939,0.4595,0,0,true,false
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,2023-09-02,"1,2,3",2,2,2,3,0.60608,0.4595,,,false,false
