ufc_athlete_uuid,title,fightmetric_id,old_id,old_url,athlete_status_text,official_fight_appearances,distinct_official_fights,disposition
00215a7b-b50c-42ea-907e-55c061dc7c01,Vinicius Queiroz,1604,24234,http://www.ufc.com/fighter/Vinicius-Queiroz,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
002c03c5-c429-4d2b-bdc4-e8bfb039cd8f,Helena Crevar,4086,,,Active,0,0,profile_only_unlinked_with_fightmetric_id
002eb531-3a22-4c43-8263-6f676d2dcf35,Tim Caron,3106,656803,http://www.ufc.com/fighter/Tim-Caron,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
008b9466-d300-4153-9fc8-38d7e07a6a63,JJ Mix,,882,http://www.ufc.com/fighter/JJ-Mix,Released,0,0,profile_only_legacy_identity
009d994b-3008-4280-b79f-ddd9950a8cc9,Myron Dennis,,587589,http://www.ufc.com/fighter/myron-dennis,Active,0,0,profile_only_legacy_identity
00be45ed-26a7-411f-92e2-a84a43e959fe,Cody Vallo,,,,Active,0,0,profile_only_unlinked_no_stable_fight_bridge
012e14fb-880c-47dc-9c0b-295979d31b46,Zach Zane,3308,,,Active,3,3,unlinked_with_official_fight_history
0130bb45-1f79-4866-9696-96a6000c2b1e,Jason Guida,,858,http://www.ufc.com/fighter/Jason-Guida,Released,0,0,profile_only_legacy_identity
0137ae6e-5d25-47af-a3e1-2106c92293b5,Dos Caras Jr.,692,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
017227e9-3408-4e6e-af65-0f78ea1ce066,Nate Schroeder,203,111,http://www.ufc.com/fighter/Nate-Schroeder,Not Fighting,1,1,unlinked_with_official_fight_history
0198fdfe-4a64-4d8b-8147-fba35552590e,Edson Gomez,3594,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
01a6d87a-c591-4b87-afe2-9526d151d8cc,Tosh Cook,,680,http://www.ufc.com/fighter/Tosh-Cook,Released,0,0,profile_only_legacy_identity
01c5e189-5637-4884-8c9a-4c7278127aca,Phillip Wyman,,859,http://www.ufc.com/fighter/Phillip-Wyman,Released,0,0,profile_only_legacy_identity
01ea1fd3-75b3-4b3e-9fc9-90a321894f42,Joel Suprenant,,877,http://www.ufc.com/fighter/Joel-Suprenant,Released,0,0,profile_only_legacy_identity
01f52725-2b23-4f2a-88ca-6c3de14a4c19,Leon Aliu,3893,,,Active,0,0,profile_only_unlinked_with_fightmetric_id
01fa9751-91bb-4a8f-8b1e-a319eaa42bec,Igor Borisov,688,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
01fb5d04-07d7-410e-8ddc-528e6997f4a8,Chad Hanekom,4036,,,Active,0,0,profile_only_unlinked_with_fightmetric_id
02699a16-9103-47d6-9e28-7d7737693a16,Maurice Mitchell,3145,660484,http://www.ufc.com/fighter/Maurice-Mitchell,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
0278d9aa-3ac7-4895-81fa-c8e1ddf068fd,Brian Cobb,650,1031,http://www.ufc.com/fighter/Brian-Cobb,Not Fighting,2,2,unlinked_with_official_fight_history
027a5ada-36d0-4334-bab2-bdaa1eb9722c,Kazunari Murakami,787,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
02849afe-a65b-45ab-b5a9-1c907b9ef63b,Eric Schambari,1109,450,http://www.ufc.com/fighter/Eric-Schambari,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
02d4669e-c540-49b3-a5d9-d3978c9eb32f,Kaleio Romero,3853,,,Active,0,0,profile_only_unlinked_with_fightmetric_id
02d8ff1b-75a0-477d-9b7b-5fdf28beaf48,Daniel Spohn,2284,480096,http://www.ufc.com/fighter/daniel-spohn,Active,1,1,unlinked_with_official_fight_history
02f61ee3-16cb-4717-a233-fd90725adb03,Justin Burlinson,3737,,,Active,0,0,profile_only_unlinked_with_fightmetric_id
036f45ef-1a43-449f-bc4c-eb8953cc0ae7,Chibwikem Onyenegecha,3118,659406,http://www.ufc.com/fighter/Chibwikem-Onyenegecha,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
037c56d0-2411-40f3-8a91-872a982a8045,Joey Gomez,3540,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
03a14fea-2e33-40d3-bed1-a0166952e6e0,James Wade,1389,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
03e3c577-0937-4cc2-ac60-a246ca54206a,Bryan Humes,1846,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
03f741e1-a8ee-40ac-b3c0-d7686cd939b7,Jesse Murray,3742,,,Active,0,0,profile_only_unlinked_with_fightmetric_id
04070edc-f11f-49b3-8a0a-d2255c767068,Cory Walmsley,618,785,http://www.ufc.com/fighter/Cory-Walmsley,Not Fighting,1,1,unlinked_with_official_fight_history
040e1ecf-44ff-4c8d-a2fd-6448440ef636,Kim Couture,1356,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
04268d2d-fa56-48b9-b2f9-554e523ba18c,Bob Schrijber,830,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
0456ec94-9179-47aa-8cec-5e8e902eea03,Leonardo De Oliveira,3165,,,Active,0,0,profile_only_unlinked_with_fightmetric_id
045b6548-d698-432e-ab84-ea47d0fcfe7a,Mitch Whitesel,1777,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
04a6a108-9971-4fae-9784-7a0f02731c22,Yoshiyuki Yoshida,336,903,http://www.ufc.com/fighter/Yoshiyuki-Yoshida,Released,9,9,unlinked_with_official_fight_history
04aa50f7-ce6a-4627-9efd-36732d28e461,Waachiim Spiritwolf,1646,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
04c21b05-fae6-4540-91e0-9aa350ff0ceb,Clint Coronel,1215,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
0512d25b-df19-4c55-b618-7e444ae4a003,Joao Elias,3896,,,Active,0,0,profile_only_unlinked_with_fightmetric_id
053b2cfc-7f55-4713-b384-3c6a801cdee0,Leonardo Augusto Guimaraes,,573985,http://www.ufc.com/fighter/Leonardo-Augusto-Guimaraes,Active,0,0,profile_only_legacy_identity
055fd1da-2628-4c48-ae41-3862eb2da6af,Ben Lagman,1840,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
05f48453-fa3f-49ef-a818-f31716fca95b,Saeed Hosseini,579,70,http://www.ufc.com/fighter/Saeed-Hosseini,Not Fighting,1,1,unlinked_with_official_fight_history
0603f78e-4920-4bdd-a6e4-7392c3659390,Stephen Ledbetter,1118,527,http://www.ufc.com/fighter/Stephen-Ledbetter,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
06166da5-09ce-4441-8c10-369442382ab1,Chase Waldon,2942,631550,http://www.ufc.com/fighter/Chase-Waldon,Active,1,1,unlinked_with_official_fight_history
0617780c-ad3a-498a-8f67-b1330fdfb5c2,Poppies Martinez,,594,http://www.ufc.com/fighter/Poppies-Martinez,Released,0,0,profile_only_legacy_identity
06281a74-27be-4500-bf6a-4745dd0b5ca7,Tadao Yasuda,862,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
0636b8a4-f569-4787-9c62-a2c9d7ad1a5c,Wallen Del Rosario,3803,,,Not Fighting,1,1,unlinked_with_official_fight_history
0646aa9c-fcd1-4885-962b-c51b945652bc,Scott Graham,1204,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
066c7caa-4d0d-4a1f-9782-9cf223e4670c,Artem Vakhitov,4253,,,Active,0,0,profile_only_unlinked_with_fightmetric_id
066fe62d-1dc4-4858-bc3e-23e4ce2e46f7,Marc Stevens,1756,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
067167d1-6635-4760-9168-465bdf7c066f,Aaron Lanfranco,1766,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
06c99489-8c97-4699-9af0-a373b278fcd0,Josh Houlgate,,420,http://www.ufc.com/fighter/Josh-Houlgate,Released,0,0,profile_only_legacy_identity
07048986-cf6e-4cd9-bf0d-e06420bf0465,Eric Jacob,1313,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
071cc1e7-7133-4d26-a557-112679240216,David Bancroft,,418,http://www.ufc.com/fighter/David-Bancroft,Released,0,0,profile_only_legacy_identity
072d14f2-e8f8-4200-a939-e632cf79004c,KyeongPyo Kim,3823,,,Not Fighting,2,2,unlinked_with_official_fight_history
