target_fight_id,fighter_id,history_fight_id,history_event_date,history_promotion,days_before_target,history_stat_eligible,included_recent3,included_recent5,ewm365_weight
00091f0d-603c-5b7e-a8de-3e828590ae39,d6a8af9c-6c9b-595a-92fd-cf8e931840c1,e19f306a-18f5-52ba-adeb-6d5f13eb0890,2008-06-07,UFC,42,true,true,true,0.9233384734244436
00091f0d-603c-5b7e-a8de-3e828590ae39,fefebbcd-58b5-5c26-b8c7-85795cf35a1b,5c149e29-8e58-525e-9f85-d48ff8d764ec,2007-06-12,UFC,403,true,true,true,0.46518949109466856
00091f0d-603c-5b7e-a8de-3e828590ae39,fefebbcd-58b5-5c26-b8c7-85795cf35a1b,cba68558-8ca3-5414-bf5d-2688c6bcb7fd,2007-09-22,UFC,301,true,true,true,0.5646162146257819
00091f0d-603c-5b7e-a8de-3e828590ae39,fefebbcd-58b5-5c26-b8c7-85795cf35a1b,55ca7237-5e07-5b13-8bda-7dae4e31fe13,2008-04-02,UFC,108,true,true,true,0.8145694365019208
000b8aad-72c6-5991-881a-cbcef499b4c7,4a27431e-2228-5637-8de0-902f3bcd7b86,e6ae6e76-9e06-5e4a-801c-da174ec1d6eb,2013-02-02,UFC,1379,true,false,false,0.07289268272437253
000b8aad-72c6-5991-881a-cbcef499b4c7,4a27431e-2228-5637-8de0-902f3bcd7b86,2df638ad-a4d8-56d8-9a04-f49300a3519c,2013-06-15,UFC,1246,true,false,false,0.09383704351190884
000b8aad-72c6-5991-881a-cbcef499b4c7,4a27431e-2228-5637-8de0-902f3bcd7b86,52640064-c55c-5a6c-b6d4-b83caeec44fc,2013-11-16,UFC,1092,true,false,false,0.12571416993142576
000b8aad-72c6-5991-881a-cbcef499b4c7,4a27431e-2228-5637-8de0-902f3bcd7b86,eee79911-54b2-5561-867f-fd450b54edf7,2014-03-15,UFC,973,true,false,true,0.15758985580187015
000b8aad-72c6-5991-881a-cbcef499b4c7,4a27431e-2228-5637-8de0-902f3bcd7b86,be7c688c-51f2-5b38-ac0d-6d8a83570f51,2014-06-14,UFC,882,true,false,true,0.18731802586263274
000b8aad-72c6-5991-881a-cbcef499b4c7,4a27431e-2228-5637-8de0-902f3bcd7b86,9dd79732-fe6a-5f1c-bb0f-a4c485ac267d,2014-08-23,UFC,812,true,true,true,0.21394953755717203
000b8aad-72c6-5991-881a-cbcef499b4c7,4a27431e-2228-5637-8de0-902f3bcd7b86,ec4af7d4-0247-5b63-9a2f-7f452a7fda7f,2015-01-31,UFC,651,true,true,true,0.2904654261406118
000b8aad-72c6-5991-881a-cbcef499b4c7,4a27431e-2228-5637-8de0-902f3bcd7b86,dee422c9-a925-597b-80f3-e949cafdf84b,2016-07-30,UFC,105,true,true,true,0.8192233644907857
000b8aad-72c6-5991-881a-cbcef499b4c7,e14f4877-4ec9-5de7-be5c-170c34751dae,fa67d5c7-7846-5f95-85e7-e53b5425906b,2012-02-04,UFC,1743,true,false,false,0.03651561994104487
000b8aad-72c6-5991-881a-cbcef499b4c7,e14f4877-4ec9-5de7-be5c-170c34751dae,39ed9460-30b8-5aa6-9812-684e4c9c6be4,2012-04-21,UFC,1666,true,false,false,0.04226526888460024
000b8aad-72c6-5991-881a-cbcef499b4c7,e14f4877-4ec9-5de7-be5c-170c34751dae,48a21daa-0c0a-569b-86ba-604875bc32ca,2013-05-25,UFC,1267,true,false,false,0.09016848695199577
000b8aad-72c6-5991-881a-cbcef499b4c7,e14f4877-4ec9-5de7-be5c-170c34751dae,3d46ecec-5df9-513d-9fde-a999cdd82105,2013-09-21,UFC,1148,true,false,false,0.11303132227965118
000b8aad-72c6-5991-881a-cbcef499b4c7,e14f4877-4ec9-5de7-be5c-170c34751dae,f15e1de4-c4a9-5beb-b8ed-1c874ef289ed,2014-02-22,UFC,994,true,false,true,0.15142888485009096
000b8aad-72c6-5991-881a-cbcef499b4c7,e14f4877-4ec9-5de7-be5c-170c34751dae,6052906d-e25a-5ea2-bc71-bc67ec3f85b4,2014-09-27,UFC,777,true,false,true,0.2286531780976074
000b8aad-72c6-5991-881a-cbcef499b4c7,e14f4877-4ec9-5de7-be5c-170c34751dae,85a51de8-f282-55d9-90e1-adfd754c9986,2015-07-12,UFC,489,true,true,true,0.3950956787958098
000b8aad-72c6-5991-881a-cbcef499b4c7,e14f4877-4ec9-5de7-be5c-170c34751dae,fa917001-7fbb-5bcf-830f-3a21fabc193c,2016-02-06,UFC,280,true,true,true,0.587587948853744
000b8aad-72c6-5991-881a-cbcef499b4c7,e14f4877-4ec9-5de7-be5c-170c34751dae,90e310d8-fe7b-566f-8d72-59af323e35dd,2016-06-18,UFC,147,true,true,true,0.7564204507625586
000e31d6-0b78-5ac9-af58-b392985e2d1a,a9a07fee-18f5-5c51-9232-207900387135,13894adf-38f0-50f4-bf8d-175a92a98fa6,2018-11-10,UFC,581,true,false,true,0.33176168344152845
000e31d6-0b78-5ac9-af58-b392985e2d1a,a9a07fee-18f5-5c51-9232-207900387135,546b5cf8-a775-5b41-bf7a-729ecece5a74,2019-03-02,UFC,469,true,false,true,0.41039028756404045
